"orf","chr","gene","geneflag","WtMean","MutMean","WtMean2","MutMean2","fold.mut.by.wt","p","p.paired","chr.combimatrix","start","end","strand","chr2","loc","sd.wt","sd.mut","sd.mut.vs.wt.ratio"
"orf19.2444","Chr1","CHS7","1",1121.66055787896,3075.63711607422,1318.67548048293,1910.91033631641,1.44911342070044,0.0265057348116966,0.0339980660736540,"Chr1",1263910,1264842,"W","1",1264376,212.731472603045,520.537595802133,0.439794398748778
"orf19.4993","Chr1","SEC18","1",1626.45402298851,3478.28576248313,1885.92594172812,2088.25884370087,1.10728570910231,0.822266517862934,0.485763375087514,"Chr1",2981650,2984042,"W","1",2982846,1372.90279892015,1507.72895382792,0.397548853578546
"orf19.5662","Chr4","PEP7","1",415.223006676727,885.923569423116,444.63138871485,552.875920305217,1.24344779594449,0.342020391978244,0.291557345175019,"Chr4",52683,54020,"W","4",53351.5,236.275561843925,173.059527235946,3.01213712657854
"orf19.3674","Chr1","GAL102","1",1258.66966044643,2487.00230766838,1779.68294901635,2045.67057257766,1.14945787040794,0.797913110168483,0.304945826671396,"Chr1",455844,454882,"C","1",455363,1776.07458078772,2023.12340019622,0.345455929072019
"orf19.5464","Chr3","","1",200.172104110852,222.262820512821,172.373109195076,151.001330875677,0.792514631341983,0.58272423417767,0.595292024264192,"Chr3",17482,18108,"W","3",17795,9.83851758661981,37.5874943044461,0.151948850140995
"orf19.1985","ChrR","","1",1599.43637110016,1923.20940170940,1977.52717771090,1207.09137578722,0.61040444318166,0.0868410181861995,0.190303324480754,"ChrR",1671225,1672436,"W","R",1671830.5,288.143509596753,394.997722213181,0.315200990135429
"orf19.1317","Chr4","OSH3","1",577.946079278656,1015.50485545014,632.033788486726,652.370855730464,1.03217718358449,0.850658720135634,0.789468956469662,"Chr4",769493,766959,"C","4",768226,277.862334190791,255.603411524458,0.511912952530103
"orf19.3068",NA,"PAK4","1",280.312299315929,332.679208472687,258.650175183340,209.248913073143,0.809003562146516,0.969456410608478,0.974115708535714,"Chr3",NA,NA,NA,NA,NA,181.024108145320,45.3590717291789,1.41991005481287
"orf19.7557","ChrR","FGR46","1",188.373109497883,262.641215106732,151.800264961137,171.847578259667,1.00397094865298,0.285576219469512,0.331716608586125,"ChrR",2100746,2100384,"C","R",2100565,58.700118117409,68.0331278059253,0.110607820001027
"orf19.4424","Chr1","PHO3","1",277.421213566631,380.236263736264,278.380549823969,262.064343656389,0.928242724588542,0.453885315717433,0.458545260539101,"Chr1",1609155,1610126,"W","1",1609640.5,157.247923564875,82.5966773084403,1.65859587975257
"orf19.4569","Chr4","","1",432.06399204244,739.142835542345,461.459982420786,469.857208774685,1.01819708463093,0.80948596475239,0.787536935997758,"Chr4",437977,438771,"W","4",438374,194.809301632781,167.516488107033,0.834631400459555
"orf19.2198","Chr2","","1",446.488657746026,669.253036437247,476.973000417444,447.361303304294,0.93791745636077,0.79059504758067,0.841025070117032,"Chr2",1595723,1597879,"W","2",1596801,140.883483902036,103.401655549146,0.575437269518397
"orf19.5987","Chr3","","1",901.633502273589,2060.11163463477,1040.12433805220,1271.60613425822,1.22255204280626,0.301539174826355,0.149067606750918,"Chr3",1102846,1101428,"C","3",1102137,271.406858098455,392.332621071142,0.378628946663122
"orf19.1508","Chr2","","1",271.797619047619,398.070970695971,257.755384917736,260.406902004877,1.0102869512813,0.663844297839126,0.724466373029963,"Chr2",367588,367253,"C","2",367420.5,204.661094075148,101.184474705246,6.00933958038195
"orf19.2500","Chr3","","1",586.122221169635,1104.85537160208,655.947196131005,696.871883754582,1.06239021656768,0.814177918017912,0.707108351144851,"Chr1",194339,195481,"W","3",194910,284.668417258483,275.904608491383,0.521924842320206
"orf19.7424","Chr3","NSA2","1",430.970159151194,913.097968069666,460.503782270421,572.025767718037,1.24217387509345,0.474342126158921,0.529373555802862,"Chr3",1457042,1457827,"W","3",1457434.5,296.842648978622,100.602973473112,1.62367846033856
"orf19.397","Chr1","MRPL28","1",1388.27968960864,2683.90309383095,1607.80881206263,1542.3441856348,0.95928332651452,0.663897306629436,0.443044792398589,"Chr1",1867699,1867256,"C","1",1867477.5,563.944481422072,916.67792142818,0.455927110708866
"orf19.2677","Chr4","GPI16","1",728.705625552608,1246.82327586207,815.775645084662,792.688995451473,0.971699756210799,0.872408691149196,0.846153323093984,"Chr4",657652,659517,"W","4",658584.5,318.792468974781,341.870868461617,0.547752138301336
"orf19.1237","Chr4","ARO9","1",921.995247568523,2857.68345944991,1060.33749235826,1742.1184002771,1.64298481646868,0.0156861335803864,0.0347977789367198,"Chr4",1215151,1213580,"C","4",1214365.5,318.670436149346,473.843188857782,0.939724452134168
"orf19.4413","Chr4","CMD1","1",8084.30494505495,25387.4951923077,10824.5084227136,16682.2521028840,1.54115563048376,0.266057288741386,0.00433981393044778,"Chr4",1338227,1338898,"W","4",1338562.5,8350.174261985,10482.3238813630,0.410522483538455
"orf19.6233","Chr1","","1",1226.26929724843,2588.91862896511,1422.47394321458,1582.11009345235,1.11222430540767,0.722771767705652,0.346411324624786,"Chr1",1444529,1446052,"W","1",1445290.5,1002.14635473156,950.55274952854,0.623515870484108
"orf19.5537","Chr6","WSC2","1",735.001327506432,993.573155645524,832.86673148553,629.678992675367,0.756038113747503,0.080658620193582,0.0181157068043312,"Chr6",548965,547667,"C","6",548316,204.994342847196,169.176259627682,0.156817225641266
"orf19.2748","Chr4","ARG83","1",260.800836225178,340.119117145206,242.191992640585,213.918512079564,0.883260052271919,0.649520796430424,0.666457506835778,"Chr4",517408,520332,"W","4",518870,159.486988248096,40.6731672788714,3.00227040830069
"orf19.2179","Chr2","RPS10/SIT1/ARN1/YHL040C","1",16038.2759558624,35577.6951870725,20531.2279854616,21034.2757700625,1.02450159264498,0.842861905020856,0.821879683393052,"Chr2",1636358,1634544,"C","2",1635451,5010.55292271424,9060.14555150602,0.505446022401509
"orf19.4752","Chr1","MSN4","1",739.416224303021,1153.12306005398,884.272415926859,808.768706705738,0.914614876749287,0.750220741896426,0.563504482266328,"Chr1",1942826,1940550,"C","1",1941688,571.764768471841,586.100213050269,0.484750859773121
"orf19.5364","Chr2","ECM2","1",1343.21172363380,2865.23686974389,1669.31610723539,1899.13362361969,1.13767165810489,0.397472230595138,0.307438621744532,"Chr4",2216518,2217429,"W","2",2216973.5,588.747848680892,429.307282582592,0.501722867417475
"orf19.2190","Chr2","VRP1","1",824.915474750094,1244.57097893361,965.62695427231,786.439485557255,0.814434064912687,0.515650966132091,0.286654524850566,"Chr2",1615330,1613336,"C","2",1614333,410.639665084672,298.737811024379,0.386035818019043
"orf19.2356","ChrR","CRZ2","1",12238.0768300060,12069.1845731149,14760.9158983090,7017.47303117546,0.475409051817672,0.0470213100327972,0.00943035268277949,"Chr6",1525262,1523709,"C","R",1524485.5,6821.47840231507,5463.85182233095,0.225181413036966
"orf19.223","Chr2","KIN82","1",3429.8225976418,4977.4487858129,4236.80066621486,3114.52291394658,0.73511197701191,0.244829163188803,0.0263660580953563,"Chr2",1797689,1800073,"W","2",1798881,1751.27075148452,1280.61699646217,0.178966274668232
"orf19.5604","Chr6","MDR1/BEN/BENR/BMR1","1",355.406675397601,734.582969058656,351.542675175488,426.018609237040,1.19697498267900,0.456951526861469,0.448526366502685,"Chr6",668252,666558,"C","6",667405,197.300779419645,315.391500988660,0.633172552791281
"orf19.6349","Chr1","RSV162","1",281.574703779785,438.626644252098,272.104224096422,290.338499468853,1.05358569314306,0.425072956606957,0.405391425010557,"Chr1",2774849,2775856,"W","1",2775352.5,105.903207176084,87.7596418016623,0.892423109260965
"orf19.6704","Chr7","","1",525.761278195489,755.84659205485,588.465030180489,505.338756463001,0.858740503761128,0.717896056305657,0.788039833817425,"Chr7",765250,765927,"W","7",765588.5,221.642810958969,115.253458656465,0.664462201818872
"orf19.7368","Chr3","PUB1","1",940.780443178016,1639.66865605659,1073.89308859428,1029.54017886590,0.958698952251906,0.751125112334418,0.713892695382805,"Chr3",1320498,1318966,"C","3",1319732,260.881738193043,297.212991175156,0.316102399092422
"orf19.589:6364",NA,"VPS21","1",1471.42972013367,3435.82389093915,1909.94898997301,2418.75894261644,1.26639976005361,0.54483441657748,0.196022243777144,"Chr5:R",NA,NA,NA,NA,NA,860.735707506794,1496.33021563106,0.356591954709284
"orf19.7059","Chr7","","1",336.060030713388,790.371207000606,329.500054507722,487.060625165229,1.47818071196651,0.183183223460316,0.214007896033841,"Chr7",99298,97943,"C","7",98620.5,186.431298127148,215.216867029561,1.96104826082095
"orf19.7422","Chr3","LCP5","1",550.252524547443,1448.21305946217,602.26825983684,878.299952042667,1.45832017161357,0.0868709482247717,0.105972263478983,"Chr3",1456929,1455757,"C","3",1456343,202.068260217406,272.66781549562,0.828400845048315
"orf19.3574","Chr2","MDJ2","1",305.109941908263,615.179896857528,308.052386515415,419.17978640143,1.36074188920609,0.225436139915231,0.264517109793575,"Chr2",1117156,1116725,"C","2",1116940.5,194.412217339050,128.681531112786,4.07703678067171
"orf19.6861","Chr4","APC5","1",456.696108676431,792.399793692897,486.695116206973,516.938005138438,1.06213928992582,0.638791498682443,0.542757052944549,"Chr1",1132077,1129681,"C","4",1130879,334.323319659802,340.694361637404,5.22169348915689
"QC-LLD-1",NA,NA,"0",700.256300635827,1108.01815715843,851.86667706349,771.530815028752,0.905694324948046,0.694043159832183,0.535113081695979,NA,NA,NA,NA,NA,NA,438.304526722661,310.630396298720,0.468099435375974
"QC-LLD-2",NA,NA,"0",297.741379296963,441.918836919734,288.106944450518,283.143470319561,0.98277211213904,0.331657859770818,0.405586530642346,NA,NA,NA,NA,NA,NA,142.104019803199,80.1558701326104,2.29727443205975
"QC-LLD-3",NA,NA,"0",230.509180972624,323.234013333875,201.05420558516,201.216669913227,0.997688245186664,0.0443954583743556,0.0647309674682743,NA,NA,NA,NA,NA,NA,136.031318272720,63.6489202979327,9.37950789150442
"QC-LLD-4",NA,NA,"0",208.426610292309,341.357031190026,171.699020948006,213.648798858827,1.20263986274318,0.0102842621695778,0.0212075840421664,NA,NA,NA,NA,NA,NA,92.4397186258472,101.131739572748,3.24856225285607
"orf19.97","Chr6","CAN2/CAN1","1",2504.64893084834,5016.98753164626,3039.59457436723,3566.48842570013,1.17334346355799,0.660748470051358,0.599222582951531,"Chr6",191119,192834,"W","6",191976.5,935.037039234216,2001.14977634186,0.565668861104831
"orf19.2587","ChrR","HNM2","1",3198.32780725022,913.730722779636,3646.52594243066,611.92493226105,0.167810387728425,0.00766029880875665,0.0123621413122877,"ChrR",422261,420765,"C","R",421513,2163.84380630317,212.82432221403,0.326288238285636
"orf19.4651","Chr4","PGA53","1",2911.52265403230,7212.41382193519,3724.76665697467,4398.35723841222,1.18084101461128,0.381511568575364,0.306816113774239,"Chr4",278269,278688,"W","4",278478.5,1118.12605984436,1454.41307688164,0.512563188409063
"orf19.3419","Chr6","MAE1","1",1277.41812274842,2600.26077826471,1688.75119508775,1894.32481047434,1.12173114428257,0.619146853810736,0.288441148844148,"Chr6",350713,352605,"W","6",351659,984.08795154858,945.536373724548,0.374224538132618
"orf19.1738.1","ChrR","UGP1","1",791.591579108027,2123.34225491702,902.699642398648,1309.81787509892,1.45100076878116,0.152377067130316,0.0500492977003308,"ChrR",1015958,1016245,"W","R",1016101.5,380.309090498270,426.097692192333,0.696479861601287
"orf19.1202","Chr6","","1",693.317027233202,1196.96463532018,773.530123950266,755.389538036457,0.976548313566421,0.952643736697649,0.936770522123852,"Chr6",70426,69092,"C","6",69759,231.551849852282,195.120595252432,0.36923207690413
"orf19.5039","Chr4","RRP42","1",644.396196891433,1350.79281150585,720.315920811554,854.379829752775,1.18611820878563,0.320661033423733,0.35945355436464,"Chr4",817419,816496,"C","4",816957.5,201.401375377246,243.808537230806,0.53243026559888
"orf19.5214","Chr2","VSP33","1",611.921665197621,959.889684844776,686.08500066816,606.688159675038,0.884275503886837,0.886091672427494,0.728561699083407,"Chr2",1214390,1212294,"C","2",1213342,408.543537199551,317.644713534075,0.435979058394227
"orf19.3930","Chr5","YUH2","1",775.137133699634,1255.30110717643,918.887989387598,862.713669150317,0.938867064445234,0.794320629981538,0.761219828634799,"Chr5",976782,975772,"C","5",976277,324.624336575193,298.054271943165,0.416186403974372
"orf19.4356","ChrR","HGT3/YDL199C","1",212.389232924746,312.09255072194,180.932611706590,201.282574110952,1.06465453899455,0.256580410265091,0.277380809190816,"ChrR",860674,862617,"W","R",861645.5,50.45475609505,47.3077332805513,0.180025518234346
"orf19.1333","Chr7","SNG3","1",409.057812247241,653.0315432702,441.110679489016,471.844593384041,1.06967392839055,0.757896098623311,0.722474815715145,"Chr7",755687,753858,"C","7",754772.5,202.487187391877,236.08440330791,0.610125517885616
"orf19.2425.2",NA,"","1",857.845996463885,1750.73416039881,964.542431635224,1058.33534814254,1.09724084024827,0.836776245970483,0.781001158432108,"ChrR",NA,NA,NA,NA,NA,278.527017696618,436.971605033534,0.507984985846514
"orf19.7300","ChrR","","1",355.628707967445,711.837153117099,361.949611430413,456.312416049682,1.26070702009142,0.3126516133553,0.308785745796697,"ChrR",1931909,1932733,"W","R",1932321,172.247940634666,82.6462654275188,4.74446817340202
"orf19.3232","ChrR","","1",1023.79408235443,2259.57461001642,1265.78933255260,1501.78158846098,1.18399706183664,0.53090824736631,0.396883779116445,"Chr2",282674,284239,"W","R",283456.5,1209.95480710020,1402.11046266334,0.390907211346399
"orf19.3649","Chr6","FES1","1",1225.75795553265,2618.43864468864,1568.42433252868,1649.14078057858,1.05146339952516,0.811881617147704,0.640754110337186,"Chr6",134325,135179,"W","6",134752,1084.57133023746,889.73176920739,0.494377378109587
"orf19.3518","ChrR","ODC1","1",1685.73493706082,4153.50734221697,1974.31434461415,2429.11596006691,1.23035927216628,0.380296532769458,0.241912478053169,"ChrR",1165935,1166795,"W","R",1166365,546.091917238266,848.648193474464,0.436422780365006
"orf19.922","Chr5","ERG11(ERG16)/ERG11/CYP51/ERG16/L1A1/P45014DM","1",1702.62019951563,1965.27474507999,2004.01386237775,1300.04303615343,0.648719582513735,0.0161138767406777,0.0778533055891984,"Chr5",149706,148120,"C","5",148913,454.879210313407,370.272400129141,0.318313874967657
"orf19.7050","Chr7","NOP15","1",400.551392572944,956.406865832796,401.849256789564,571.482627066132,1.42213185021616,0.0878414878098748,0.00705334743307364,"Chr7",127379,128182,"W","7",127780.5,182.774017189731,176.410266252255,0.337772552425828
"orf19.5616","Chr6","","1",207.821862486676,268.469085214287,176.884001440380,177.213660982788,0.941537405127142,0.295416860733079,0.317026549282635,"Chr6",688429,689238,"W","6",688833.5,62.1807079790583,53.872810643473,0.170006138684911
"orf19.814.3",NA,"SSY1.5","1",733.16695683872,1214.61553003862,836.398369134993,820.614389869273,0.981128634573925,0.943212023340178,0.931681230854752,"Chr2",NA,NA,NA,NA,NA,236.513846126092,229.310868850008,0.401839015795657
"orf19.4280","Chr5","","1",349.749557913351,368.363682193991,379.346716792356,264.160768790795,0.696357071505616,0.748926331191966,0.646362143414154,"Chr5",594548,595198,"W","5",594873,262.290694520159,140.383548545385,0.678453517605971
"orf19.4078","Chr2","RRP45","1",295.109444283786,494.637070544398,286.936911831132,336.98056411242,1.17440646434063,0.407117402416259,0.434828183014268,"Chr2",1882506,1883519,"W","2",1883012.5,167.724113117909,146.264889864554,1.74813270621240
"orf19.4418","Chr4","FMT1","1",486.544634962738,1040.64636461290,529.157596892831,654.899975909056,1.23762746628712,0.255713443442299,0.244975992778622,"Chr4",1352457,1351378,"C","4",1351917.5,197.862597123031,185.814226316373,0.746368417793525
"orf19.4765","Chr1","CCW12/PGA6","1",10293.4333712265,19296.9533152621,11877.6986553779,10820.8803729084,0.911024996244453,0.689254609945807,0.152416980877345,"Chr1",1978927,1978268,"C","1",1978597.5,7602.03201868195,8128.79940704825,0.291881928040844
"orf19.763","Chr1","CBC2","1",828.915206201844,1264.45892541367,1013.09287755352,842.912994663316,0.832019465677058,0.969030531855445,0.940036192010245,"Chr1",997383,998057,"W","1",997720,828.341109489328,585.277878355407,1.20047760968004
"orf19.6898.1","Chr7","","1",1928.38074712644,3565.75474079762,2451.02389564384,2394.66836391130,0.977007351159367,0.927964871852776,0.811557069495326,"Chr7",245756,245478,"C","7",245617,2567.85622681651,2505.24464909339,2.04759814749496
"orf19.3170","Chr5","BUD27","1",548.654667171908,739.456660966076,603.218372285525,486.520166818953,0.80654069765081,0.373212527705368,0.474500161361253,"Chr5",453571,451385,"C","5",452478,231.701910133515,68.8760775867669,0.445859575342480
"orf19.2953","Chr1","TOM20","1",1854.29141072176,4598.0356658113,2386.2106882869,2905.10352113298,1.21745474336912,0.165027546437674,0.291190264469346,"Chr1",553432,552917,"C","1",553174.5,651.633065060055,644.967731543472,0.595092776840778
"orf19.3784","Chr4","","1",237.578718569190,327.349161198753,207.171785928054,201.891106531206,0.974510624730135,0.393025195546931,0.420493924199343,"Chr4",1059647,1060528,"W","4",1060087.5,166.405590734806,47.7098265111596,41.099269140093
"orf19.2167","Chr2","","1",557.383363311597,1250.55331825364,603.971394768235,739.340504046192,1.22413165664891,0.768457532992871,0.666685817921452,"Chr2",1660128,1658675,"C","2",1659401.5,342.535975982997,563.937723038896,1.02308145624582
"orf19.4779","Chr1","","1",2721.98095537252,6414.88621891821,3447.56962138476,4029.96623810983,1.16892961729113,0.612201857941441,0.189769184929931,"Chr1",2024475,2022613,"C","1",2023544,1743.3197361634,2088.91800508268,0.321232980297088
"orf19.4658","Chr4","","1",548.419469987716,1427.44388964425,599.296584124578,848.115741439499,1.41518534212636,0.395972316118174,0.429554500392572,"Chr4",258967,261357,"W","4",260162,200.047022931316,436.021338164237,1.18567577585285
"orf19.1421","Chr4","DAL3","1",296.133322918259,709.074297932749,292.454520189398,430.835545375787,1.47317109373714,0.159649994201547,0.218138695111085,"Chr4",913840,914481,"W","4",914160.5,171.851222519979,109.309006638248,3.71723815105303
"orf19.7235","Chr1","","1",668.121036731971,1234.53079247893,756.090631479976,818.066805579416,1.08196923955813,0.645909150323788,0.629844752307103,"Chr1",3143789,3141111,"C","1",3142450,230.506165330339,228.074552112516,0.39643408592732
"orf19.5758","Chr6","PPQ1","1",2335.80200916748,5302.14803652547,2883.24337308458,3627.88321916481,1.25826465189568,0.578950341277848,0.174936991307868,"Chr6",830304,832019,"W","6",831161.5,1498.76448162920,2161.17023944426,0.400353127871997
"orf19.6792","Chr3","RRD1","1",505.188160221509,887.975555876872,548.101354097102,558.984449778855,1.01985599123301,0.779015726731075,0.789733776141312,"Chr3",1620351,1621625,"W","3",1620988,183.719597702193,127.138886656733,0.826920249130668
"orf19.7417","Chr3","TSA1","1",14133.7140474972,40138.7492421372,19712.2351720596,28158.2423974849,1.42846522232024,0.205936899054251,0.0348917585372811,"Chr3",1406650,1406060,"C","3",1406355,9872.29038260716,12712.7659756329,0.483784082541008
"orf19.6524","Chr7","TOM40","1",3711.66798406272,5370.52716312222,4528.43432115763,3216.09725232318,0.710200706080027,0.377260501468628,0.0690727534520459,"Chr7",423407,422235,"C","7",422821,1969.81264692970,1623.09857557529,0.257323754260366
"orf19.2876","Chr4","CBF1","1",813.751747638086,1162.23440481176,962.828083973717,822.869108586414,0.854637626678198,0.454064809292901,0.358669290142406,"Chr4",1471235,1472269,"W","4",1471752,378.441444453634,446.349137141656,0.349988484997135
"orf19.3689","Chr1","","1",690.488077992043,1058.93327206168,763.376154756813,714.443378474978,0.935899522172758,0.64530728809932,0.588097566735028,"Chr1",486515,484882,"C","1",485698.5,203.473974244529,256.148741886442,0.338690843772278
"orf19.3512","ChrR","CIS36","1",237.051636883987,299.239699024596,210.890143783311,193.592312869352,0.883823473953673,0.486705353478031,0.497382369621542,"ChrR",1160513,1161577,"W","R",1161045,123.909137495186,57.9705867992528,1.59575549199728
"orf19.1484","Chr2","","1",272.939287694210,408.328022476616,255.642398005671,266.262254099007,1.01989740219979,0.460648583208599,0.489392121664247,"Chr2",310889,311647,"W","2",311268,119.181453648439,98.6377016704006,0.665219334749759
"orf19.1226",NA,"","1",432.387061403509,708.900371507903,461.264544177728,458.897621807992,0.994868622790084,0.889513007563575,0.860795567162876,"Chr4",NA,NA,NA,NA,NA,197.993293385105,148.869047209508,0.547892426676651
"orf19.596.1","ChrR","NOP10","1",1493.61039800154,3610.15591019436,1921.18703782106,2186.27144355631,1.13797948899129,0.644317931234866,0.597592521426347,"Chr5",1753033,1752854,"C","R",1752943.5,1009.75650196704,1121.35520000452,0.820952736974818
"orf19.6396","ChrR","","1",1394.54972505313,2220.06863395225,1625.54738798636,1397.44346267633,0.85967562250363,0.372617557580099,0.216840159806841,"ChrR",1800775,1796615,"C","R",1798695,408.547974933251,406.55008347795,0.268645482728383
"orf19.1513","Chr2","FAB1","1",399.941972249368,654.47847985348,413.118541845327,411.888007685055,0.997021353351087,0.851746985507926,0.81555996219355,"Chr2",385843,377969,"C","2",381906,204.540559790744,129.391829118688,0.607938749423504
"orf19.3131","Chr4","OYE32","1",2837.18521879411,9085.94425054679,3825.00585188252,6000.44672822154,1.56874184264799,0.209594578624782,0.123607684719559,"Chr4",1513097,1511799,"C","4",1512448,2344.80329983631,3180.00928811416,0.920598550006591
"orf19.5266","Chr1","","1",236.957936517571,371.481005153631,212.219480111807,229.090359080551,1.06454318403581,0.308966067518056,0.330882536768893,"Chr1",2626217,2624838,"C","1",2625527.5,149.739860725293,58.5709005697867,9.26323989709729
"orf19.6643","ChrR","MCT1","1",617.670037577365,1040.48746654001,710.912169924565,690.822771710042,0.971741378099274,0.94244086864105,0.89119646048269,"ChrR",1209508,1210533,"W","R",1210020.5,404.402902709052,382.804996155198,0.464203820601043
"orf19.5197","Chr1","APE2","1",3419.18144499179,6998.11864037376,4191.23623898126,4555.83046172503,1.08698966175011,0.57599375990981,0.388277363629434,"ChrR",914057,911193,"C","1",912625,1964.39753803710,1516.10654080727,0.378659495041662
"orf19.1643","Chr3","PCP1","1",1684.07222659877,2757.11488864084,2146.38895629144,1822.65772187833,0.849174012257098,0.589634751350341,0.234494005233853,"Chr3",445689,446672,"W","3",446180.5,1400.67952127972,1298.55417511666,0.343940294926954
"orf19.5461","Chr3","","1",203.953580901857,258.730163764272,171.608819463664,168.450675460789,0.918478240501712,0.538061425964499,0.55272224436275,"Chr3",20107,20643,"W","3",20375,38.6938743515551,25.7919149524662,0.143708219652103
"orf19.1283","Chr5","MEC1","1",662.47100385247,857.663637563809,747.855323000012,535.372743954674,0.715877426407868,0.0798210377040999,0.129483881863203,"Chr5",909155,902178,"C","5",905666.5,230.391090530743,117.329411093536,0.353117351109446
"orf19.7108","Chr7","RPE1","1",4371.67097701149,17227.6153200390,5777.07057358352,11457.0334313646,1.98319083788824,0.134722960660526,0.000721504187700929,"Chr7",19179,19871,"W","7",19525,4050.8446235093,7470.96243952829,0.507530705854738
"orf19.6062.3","Chr1","","1",1568,3274.24234374041,2028.57013695039,2175.24343234869,1.07230378320505,0.693012845597319,0.583605148861892,"Chr1",73284,72742,"C","1",73013,754.932350199619,402.095644938185,0.350896288730519
"orf19.2765","Chr4","PGA62/FLO1","1",50425.160017862,62243.4159185589,64938.5072633768,43657.2090006251,0.672285379513895,0.0222349602582047,0.0442675527084267,"Chr4",480632,481273,"W","4",480952.5,9928.29230719406,13774.8636926873,0.241352460101575
"orf19.6061","Chr1","","1",1190.05293987622,2463.46658882097,1491.44672061918,1753.42156781104,1.175651495672,0.734277887480429,0.274017102762896,"Chr1",75382,74057,"C","1",74719.5,1119.36270407575,1437.89138426218,0.371797319240882
"orf19.4563","Chr4","","1",1048.24611394886,1933.73411877057,1240.62128665488,1146.11270055256,0.923821566565932,0.551316877283506,0.514616302186906,"Chr4",447492,446377,"C","4",446934.5,288.241553413513,465.961809369534,0.420890223988249
"orf19.23","Chr2","RTA3/YOR49","1",509.833630966231,1296.68052486914,560.263278918632,790.16345410106,1.41034310802264,0.275198318542201,0.216153978592471,"Chr2",1314818,1316212,"W","2",1315515,220.088734690117,416.094282798425,0.98053773291661
"orf19.4837","Chr1","DAM1","1",515.156940760389,659.485520481999,570.497409778122,434.594790669259,0.761782232873383,0.205526244450223,0.282326227977163,"Chr1",2138595,2139428,"W","1",2139011.5,196.517981514194,91.0944638902681,0.411595150159532
