"","orf","chr","gene","geneflag","WtMean","MutMean","WtMean2","MutMean2","fold.mut.by.wt","p","p.paired","chr.combimatrix","start","end","strand","chr2","loc"
"592","orf19.4149","Chr5","RPS11A/@","1",25318.3316462732,32098.6963733106,32710.699573848,21363.3059222677,0.653098411241182,0.481930702351251,0.0286532602055363,"Chr5",343906,343418,"C","5",343662
"604","orf19.3919","Chr5","","1",779.645364655006,1119.6473396411,878.281438478629,716.809695080187,0.816150340512553,0.442183123481924,0.124331231270303,"Chr5",960292,958181,"C","5",959236.5
"610","orf19.4332","Chr5","","1",451.200715233043,616.462506841817,471.929143865542,397.338449890982,0.841945141671921,0.462158795980649,0.424301204939105,"Chr5",674369,675961,"W","5",675165
"623","orf19.1942","Chr5","AZR2/SGE1","1",823.586676128872,957.14790801378,990.97258966558,692.713572576867,0.699023948594415,0.112113671449261,0.0339346017251085,"Chr5",286755,288638,"W","5",287696.5
"624","orf19.4315","Chr5","","1",359.166460039211,549.464846217001,363.344523771267,366.757360262763,1.00939283866473,0.615442770511223,0.628319463159846,"Chr5",647579,645297,"C","5",646438
"625","orf19.5692","Chr5","","1",589.962949024813,774.440333404726,677.438707004832,502.121026255017,0.74120510248824,0.238176168819402,0.343570087768729,"Chr5",8807,7209,"C","5",8008
"647","orf19.3898","Chr5","TLG1","1",261.407305287977,413.028372628078,243.451252384407,278.590051134284,1.12831452641261,0.410577209457718,0.433435718332878,"Chr5",927305,926622,"C","5",926963.5
"649","orf19.3963","Chr5","","1",252.053994337276,329.156056587091,228.222965612763,219.346966005803,0.961108210196425,0.744119163687114,0.725338267351543,"Chr5",1035743,1036369,"W","5",1036056
"670","orf19.4033","Chr5","PRP22","1",311.727189289970,407.703525641026,301.352033935627,263.428328066973,0.874154803691304,0.9264672139668,0.937621404110236,"Chr5",1164419,1161429,"C","5",1162924
"696","orf19.2654","Chr5","RMS1","1",440.904228132223,541.15307250221,454.026696936335,335.365516782418,0.738647130323801,0.453140333539821,0.443305995156751,"Chr5",734731,736389,"W","5",735560
"699","orf19.3175","Chr5","ETF1/YOR256W","1",2522.09802228784,3386.51335733232,3109.44263424762,2295.90379350598,0.738365058811098,0.226796428726945,0.0145268931624576,"Chr5",440051,438168,"C","5",439109.5
"701","orf19.1945","Chr5","AUR1","1",842.181574174596,783.518226379388,950.692655335362,526.823667690246,0.554147194399441,0.00150686136492459,0.0226085305291660,"Chr5",277008,278423,"W","5",277715.5
"707","orf19.4340","Chr5","","1",258.056866442189,360.866556684546,235.593269903924,227.210670551897,0.933494910154922,0.471517280631396,0.468661914148764,"Chr5",690031,689033,"C","5",689532
"717","orf19.3991","Chr5","","1",1611.86073037922,3454.16624036883,2071.35254148343,2366.59519026311,1.14253616555694,0.999236975133382,0.997691322506375,"Chr5",1100478,1098277,"C","5",1099377.5
"728","orf19.980","Chr5","VIP1","1",2705.47712201592,2600.97832251938,3277.03303376592,1792.27270959604,0.546919329505931,0.0703454945688698,0.0153194087444048,"Chr5",21297,23504,"W","5",22400.5
"737","orf19.4010","Chr5","PAN3","1",470.191665060086,539.627261436758,509.302030484073,363.326084448345,0.7133803965066,0.165220874771752,0.247819219610419,"Chr5",1133891,1135987,"W","5",1134939
"738","orf19.4312","Chr5","SPT8","1",897.536268556005,955.271535935329,1014.10260293526,613.794553863174,0.605258828925771,0.128108702394914,0.0412881109528975,"Chr5",642687,644999,"W","5",643843
"742","orf19.3946","Chr5","COX18","1",543.877652519894,671.589831813176,580.425856070918,454.483624556006,0.783017537558623,0.796379392450744,0.684957780944534,"Chr5",1004599,1003715,"C","5",1004157
"750","orf19.4014","Chr5","CDC102","1",342.453171777809,529.065347941029,363.494419260902,395.928836130858,1.08922947685388,0.489673710565227,0.453479773763626,"Chr5",1141954,1143402,"W","5",1142678
"774","orf19.3188","Chr5","HAL9a/TAC1/ZNC2","1",568.180173992674,777.179060881647,626.946436392552,485.217931330862,0.773938415094604,0.996288071101153,0.994059624244545,"Chr5",419378,416433,"C","5",417905.5
"781","orf19.1979","Chr5","GIT3/GIT1","1",873.003024387893,1629.32899154939,1075.28167937272,1238.43479087531,1.15173057872405,0.860513624312487,0.79751667639735,"Chr5",204210,202603,"C","5",203406.5
"786","orf19.4044","Chr5","MUM2","1",496.674228694972,843.44502973836,556.00711058278,564.431915941412,1.015152333843,0.759817276696227,0.727175044188831,"Chr5",1175918,1175238,"C","5",1175578
"820","orf19.3219","Chr5","","1",629.25651765885,757.949593983203,703.930641319257,514.641313239692,0.731096620932976,0.164468274461273,0.141653813571752,"Chr5",861391,859586,"C","5",860488.5
"822","orf19.4339","Chr5","VSP4/VPS4","1",662.756686560566,1164.66623773736,751.026101801954,828.668862907485,1.10338224053630,0.81245989007716,0.650558234269025,"Chr5",687556,688875,"W","5",688215.5
"828","orf19.4262","Chr5","JSN1","1",578.46375708709,654.982253378805,611.025065526751,405.250535119853,0.663230623395941,0.0844293250529239,0.0360974448861214,"Chr5",559093,557651,"C","5",558372
"842","orf19.4252","Chr5","BUD32","1",461.102924198206,825.746804151183,497.335480260923,568.597287496438,1.14328719760378,0.513732108687712,0.50726996628644,"Chr5",538634,537744,"C","5",538189
"846","orf19.6668","Chr5","CUE1","1",339.550330013806,472.468456175806,362.066797132080,331.346398920602,0.890370549053237,0.568449097819048,0.528887943109479,"Chr5",798406,798915,"W","5",798660.5
"875","orf19.4144","Chr5","","1",652.400970374655,1092.49411132828,774.887808197007,794.98147705691,1.02593106853321,0.812765364517792,0.687163580951751,"Chr5",332825,331014,"C","5",331919.5
"885","orf19.4348","Chr5","RGR1","1",475.153915957001,537.077414191979,486.794422303868,339.911948715312,0.698265906800246,0.149646032497639,0.179132322875523,"Chr5",712957,716742,"W","5",714849.5
"888","orf19.4308","Chr5","HSL1","1",928.16311124099,926.065136731085,1037.39353407938,564.546061875425,0.544196626766545,0.112102895622863,0.008853399512899,"Chr5",636256,631868,"C","5",634062
"909","orf19.4297","Chr5","CKB22","1",789.914319120081,863.594922180562,912.989707192652,584.12100317739,0.639789253455552,0.0155509374431624,0.0495753383389690,"Chr5",620256,621059,"W","5",620657.5
"911","orf19.3204","Chr5","","1",382.818803474203,624.707283377542,406.982658051615,423.704841100698,1.03161937315377,0.491274124862882,0.454760833955703,"Chr5",387529,385313,"C","5",386421
"912","orf19.6680","Chr5","FGR27","1",526.119157863713,656.27267272957,572.404686446844,463.029162148917,0.808919236883145,0.267701171105740,0.268064024698179,"Chr5",816619,818982,"W","5",817800.5
"945","orf19.933","Chr5","UBC14","1",2027.66315711915,3797.14260410642,2671.91671415400,2801.56145427224,1.04852125046843,0.95314030839807,0.910845102999038,"Chr5",122294,122803,"W","5",122548.5
"948","orf19.1109","Chr5","","1",634.442528735632,948.742673992674,721.626153606525,623.085720820797,0.863446699799827,0.494502927415171,0.604583203766663,"Chr5",845554,845946,"W","5",845750
"949","orf19.3215","Chr5","","1",380.697044334975,680.303571428571,386.825620773806,465.910435076136,1.20444564696653,0.521548650256564,0.596157954484229,"Chr5",872192,872581,"W","5",872386.5
"971","orf19.4334","Chr5","PGA58","1",717.634744085688,1138.34523089333,863.747653907354,748.933707503274,0.867074664822887,0.821041800819022,0.727874344210645,"Chr5",677238,676516,"C","5",676877
"977","orf19.964","Chr5","SMC4","1",997.83877562496,1182.89395607003,1115.99650310421,728.091478321481,0.65241376321185,0.258195146478045,0.0141482368009647,"Chr5",53010,48904,"C","5",50957
"1007","orf19.3897","Chr5","","1",268.082409688013,415.460455404648,251.642442254545,270.194423233437,1.07372357704320,0.465087173088135,0.502079571586277,"Chr5",924696,925958,"W","5",925327
"1019","orf19.1112","Chr5","BUD7","1",472.446824676634,727.284122361896,497.004381292109,484.180768649628,0.974198189945243,0.904564784278929,0.898208877891374,"Chr5",842912,840618,"C","5",841765
"1022","orf19.928","Chr5","","1",312.401333378761,373.0209517494,304.405841173838,245.4896914133,0.788710843369261,0.597089528869462,0.594153795499562,"Chr5",141377,139515,"C","5",140446
"1029","orf19.1121","Chr5","","1",1982.76790813433,3315.87561050061,2510.83521924417,2330.44327271752,0.928154605629215,0.883551010506837,0.657653326849878,"Chr5",825630,826451,"W","5",826040.5
"1030","orf19.6654","Chr5","","1",1155.92647735198,1614.79427858247,1402.76020409803,1135.52571438654,0.809493818736241,0.504288973166882,0.236450928338853,"Chr5",780248,778752,"C","5",779500
"1049","orf19.3921","Chr5","FSH3","1",648.563415750916,1082.93977791806,761.502009509361,703.872924091246,0.92432182095587,0.825903750373653,0.856490610779606,"Chr5",963301,962450,"C","5",962875.5
"1054","orf19.2639.1","Chr5","MRPL20","1",737.795913994757,1244.23648699556,827.80890630618,811.266746079562,0.98001693373845,0.875593320078468,0.82050499796122,"Chr5",767793,767266,"C","5",767529.5
"1117","orf19.4236","Chr5","RET2","1",859.394311098258,1233.90721997301,966.649018037527,769.633063741884,0.796186671046724,0.565267376331273,0.223919007979566,"Chr5",511372,509651,"C","5",510511.5
"1126","orf19.3986","Chr5","PPR1","1",292.859400656814,424.032130364594,278.739891436096,277.403552471538,0.99520578501458,0.683889811621628,0.684580693829413,"Chr5",1094330,1091748,"C","5",1093039
"1129","orf19.3972","Chr5","GOT1","1",739.230914906919,1002.67883194392,835.415553338945,653.7790400862,0.78257944501178,0.702391347372857,0.418486864012385,"Chr5",1060541,1060021,"C","5",1060281
"1171","orf19.3202","Chr5","","1",439.101818566088,598.62632515196,509.898016429655,431.211625163237,0.845682099692433,0.994032356813329,0.99294459862623,"Chr5",390741,393302,"W","5",392021.5
"1174","orf19.1285","Chr5","","1",871.743779070798,1165.95095912859,1017.00045264569,781.549415449377,0.768484825563455,0.721724076007814,0.403570731844847,"Chr5",899337,902132,"W","5",900734.5
"1177","orf19.4292","Chr5","PEP12","1",526.471037092067,943.099642618926,614.23094863028,698.478108631858,1.13715876770691,0.67797784605923,0.502833210783373,"Chr5",612702,613532,"W","5",613117
"1189","orf19.2643","Chr5","RPO26","1",2663.01373487875,4497.9316591102,3483.03813495706,3147.08065862272,0.903544703412073,0.604791014089357,0.340653326603803,"Chr5",763537,764010,"W","5",763773.5
"1222","orf19.3955","Chr5","MES1","1",1188.5669339877,1709.78177954834,1380.42413045637,1051.13683224246,0.761459329093983,0.438076601136001,0.089441942297145,"Chr5",1022460,1020214,"C","5",1021337
"1224","orf19.937","Chr5","","1",298.098973118029,438.263896921792,289.579571130588,292.148966703262,1.00887284818692,0.851333715250261,0.893475688276829,"Chr5",105031,105504,"W","5",105267.5
"1225","orf19.4030","Chr5","PRI1","1",1281.11716931683,1708.77780990939,1494.34252883959,1031.29597525434,0.690133590760598,0.122714066519229,0.132090453954602,"Chr5",1157251,1158525,"W","5",1157888
"1245","orf19.4288","Chr5","STB4","1",726.097078737959,960.987959925233,830.789119669884,670.530824007651,0.807101114027695,0.483907257514995,0.162198681048011,"Chr5",607847,610351,"W","5",609099
"1255","orf19.4305","Chr5","","1",259.854458759631,333.967064544651,241.822670542349,224.613275785525,0.928834650952175,0.661976203333177,0.67916143321096,"Chr5",629127,628405,"C","5",628766
"1267","orf19.4261","Chr5","TIF5","1",1801.59317654769,2827.75878744164,2181.95320030426,1859.48636602475,0.852211846599395,0.247721036656366,0.149236337222944,"Chr5",556504,555242,"C","5",555873
"1276","orf19.1927","Chr5","","1",418.177125506073,910.89880952381,438.113560999075,617.393891411811,1.40920972636388,0.244625245491355,0.367745215879987,"Chr5",311744,311136,"C","5",311440
"1284","orf19.4234","Chr5","","1",2320.06532314983,3768.98942939245,2915.05385352906,2555.46130926908,0.876642915593258,0.894368532524144,0.584676498072051,"Chr5",506324,504933,"C","5",505628.5
"1336","orf19.3212","Chr5","MID1","1",788.171942898803,1325.85028523237,919.217839568645,938.283652059426,1.02074134298756,0.994178652770027,0.99308975401827,"Chr5",879395,881071,"W","5",880233
"1354","orf19.4294","Chr5","CYC2","1",525.47132599957,611.001575002936,561.401891403894,397.342607640115,0.707768558895452,0.50901260565315,0.420241244816409,"Chr5",614964,616631,"W","5",615797.5
"1359","orf19.3959","Chr5","SSD1","1",1146.79301702532,1555.82691518252,1340.65209308733,1021.93934467172,0.762270353316159,0.226068007565681,0.119356796653464,"Chr5",1029529,1025705,"C","5",1027617
"1364","orf19.4240","Chr5","PER1","1",787.969452117252,962.36679037337,885.740041837242,612.3618701607,0.691356200731889,0.0339117148964931,0.0245923747640574,"Chr5",515229,514045,"C","5",514637
"1374","orf19.6673","Chr5","HEX1","1",590.193570797019,798.531435518505,663.214314404199,573.815037832607,0.865203035233182,0.622966858327737,0.424222180885557,"Chr5",805388,807076,"W","5",806232
"1381","orf19.1940","Chr5","CAT5","1",780.349801061008,1602.30158328514,926.384447201358,1122.62882632855,1.21183902614088,0.407568032380394,0.201049186993062,"Chr5",291183,290443,"C","5",290813
"1388","orf19.4021","Chr5","","1",1026.69445801728,1509.51934232060,1211.73536203451,960.92164943796,0.793012797633117,0.00778897465980892,0.0204266932443453,"Chr5",1150180,1149269,"C","5",1149724.5
"1390","orf19.3895","Chr5","CHT2","1",3109.56530459105,1300.19919950739,3692.01227405159,915.381686655274,0.247935710584932,0.000531814695909185,0.00593909544339866,"Chr5",921565,919814,"C","5",920689.5
"1412","orf19.3928","Chr5","AZF2","1",482.495193415679,703.034806429203,514.923489021939,453.921418499905,0.881531777394925,0.612338619133836,0.486999676219039,"Chr5",974261,973119,"C","5",973690
"1426","orf19.3184","Chr5","SFT2b","1",1730.42871546683,2920.57466181479,2239.79637594194,2258.46688311209,1.00833580559853,0.74136053491368,0.480880566982412,"Chr5",427875,427228,"C","5",427551.5
"1443","orf19.930","Chr5","PET9(ACC2:ANC2:OP1)/PET9","1",25355.1920162918,37508.8454907162,32717.7835999187,25378.0229989154,0.775664492107540,0.372250930583942,0.0111161709115802,"Chr5",134740,135645,"W","5",135192.5
"1467","orf19.2645","Chr5","","1",293.375990576141,427.386933569556,301.770858855443,293.50471753064,0.972607887467482,0.61793551790207,0.649481336455504,"Chr5",760533,760853,"W","5",760693
"1468","orf19.4235","Chr5","PDE1","1",630.329738350412,483.003622839149,719.11351482172,327.334016450852,0.455191022980570,0.603045057911798,0.617670662858478,"Chr5",508168,509448,"W","5",508808
"1486","orf19.946","Chr5","MET14","1",1382.2654493495,2311.97819712352,1587.28220398644,1398.51038069899,0.881072299044645,0.665826873851766,0.382996862823095,"Chr5",78890,79492,"W","5",79191
"1490","orf19.1968","Chr5","MAK31","1",342.941859650231,535.013217856671,335.995048583408,348.977116709771,1.03863767689761,0.613528933835699,0.592625617400388,"Chr5",223546,223869,"W","5",223707.5
"1502","orf19.4317","Chr5","GRE3/@","1",994.595996789055,1445.51198874438,1190.52658374022,905.301861551948,0.760421374806942,0.269518381642669,0.0373870373786688,"Chr5",650950,649835,"C","5",650392.5
"1548","orf19.5680","Chr5","","1",895.507570041372,1018.83474296927,1051.53865800987,729.598515601133,0.69383898541777,0.0951342203704164,0.0434082383006965,"Chr5",19011,20093,"W","5",19552
"1561","orf19.1960","Chr5","CLN3/CLN2","1",663.262270397479,631.525159051475,700.094129009096,363.818597850242,0.51967097390916,0.0905792545408176,0.00425745962946798,"Chr5",245611,244214,"C","5",244912.5
"1568","orf19.3180","Chr5","INP54","1",357.059681697613,428.986666350891,362.454817924014,284.967039836741,0.786213965836931,0.642155649819396,0.599922831488239,"Chr5",432248,430875,"C","5",431561.5
"1571","orf19.6679","Chr5","ALD1","1",422.320485674841,725.685686641449,455.44542787135,476.984093430359,1.04729142997368,0.593250521621933,0.595141952492298,"Chr5",814425,813565,"C","5",813995
"1575","orf19.4029","Chr5","SQT1","1",3197.36484280994,4834.88680541157,4034.51007604049,3422.43271602385,0.848289544831838,0.278079842300921,0.199550882226665,"Chr5",1155807,1157054,"W","5",1156430.5
"1588","orf19.3923","Chr5","PGA37","1",836.778183023873,2706.65313079371,1155.49094191187,2426.62000300823,2.10007704516763,0.455583241149323,0.0969217794747672,"Chr5",965838,965212,"C","5",965525
"1589","orf19.1978","Chr5","GIT2","1",346.043616584565,489.854545736578,337.571262354766,307.886619991932,0.912064071580723,0.738520795935923,0.794099478825829,"Chr5",207953,206349,"C","5",207151
"1599","orf19.585","Chr5","MRPL17","1",903.116298288826,1093.97119588431,1019.38692675627,705.406762496398,0.69199118017045,0.160161936598495,0.178364038622459,"Chr5",194352,195203,"W","5",194777.5
"1614","orf19.4253","Chr5","","1",422.450540586657,538.807113938693,440.547447894022,363.990141975177,0.826222337038116,0.404574243656825,0.506923481584792,"Chr5",538914,541259,"W","5",540086.5
"1625","orf19.3996","Chr5","GPI10","1",648.97942413505,765.225227846603,713.655175108472,500.666090601856,0.701551825117442,0.061722683288502,0.0531901237608534,"Chr5",1104793,1106241,"W","5",1105517
"1644","orf19.4258","Chr5","FIP1","1",1354.78061450044,1103.35149046356,1474.35995624186,764.861691945289,0.518775410785655,0.164557993425753,0.198207534290938,"Chr5",553782,554762,"W","5",554272
"1723","orf19.1970","Chr5","CVB1","1",472.592643606142,705.519971458265,539.169437044847,525.849668272235,0.975295764452792,0.897966557150762,0.830829274387241,"Chr5",221192,220488,"C","5",220840
"1724","orf19.3926","Chr5","RNY1","1",417.661997334184,631.99856738902,478.06590180485,446.022169073799,0.932972143359157,0.815700853163297,0.810008276601014,"Chr5",971653,972852,"W","5",972252.5
"1762","orf19.1954","Chr5","PUS4","1",761.538533961041,1287.28171390013,885.900832017113,910.463771619015,1.02772651149449,0.955328310153274,0.94844535800231,"Chr5",266976,268136,"W","5",267556
"1765","orf19.2644","Chr5","QCR2","1",9646.41649617523,13686.4371023051,11992.0190203908,8867.05963595792,0.739413406606567,0.131695365212117,0.0563526670510964,"Chr5",762012,763136,"W","5",762574
"1779","orf19.4306","Chr5","","1",748.224098736009,1222.24568245326,844.171337569988,774.536509974045,0.917511025905722,0.653007072836578,0.513698542006246,"Chr5",630583,629771,"C","5",630177
"1845","orf19.3912","Chr5","GLN3","1",962.320197044335,1041.09580358389,1093.50973400998,687.497689008126,0.628707424932584,0.0062832323377136,0.0257579559806361,"Chr5",949906,947858,"C","5",948882
"1847","orf19.3192","Chr5","STI1","1",1586.20017218112,2211.70876766408,2042.05899442891,1350.76858260730,0.661473829253918,0.132893321204321,0.105172838182204,"Chr5",409960,411730,"W","5",410845
"1849","orf19.4248","Chr5","","1",2930.30535196302,5152.68198458126,3894.60265781334,3608.48610912358,0.926535111838493,0.768218193473573,0.265019207237128,"Chr5",533251,534156,"W","5",533703.5
"1864","orf19.4147","Chr5","GLR1","1",2832.40418758232,4562.09106732536,3644.10735711305,3241.79124755596,0.889598173124128,0.659792682271717,0.277649611939157,"Chr5",340321,338771,"C","5",339546
"1875","orf19.4055","Chr5","YBR075W","1",388.036474053546,714.076354679803,431.120178843423,505.894414993296,1.17344174506160,0.415253800211289,0.372725433510761,"Chr5",1189130,1188819,"C","5",1188974.5
"1884","orf19.575","Chr5","HYR5/HYR3/IFF2","1",968.451923076923,1374.28505960414,1156.85937245809,1042.44591731342,0.901099945361933,0.531821113056654,0.311798335958633,"Chr5",171037,174786,"W","5",172911.5
"1890","orf19.4335","Chr5","TNA1","1",977.337856827081,1057.96660676060,1080.81226380034,638.935099146099,0.591161962670078,0.08046921806319,0.00917014637440547,"Chr5",681098,679566,"C","5",680332
"1895","orf19.4268","Chr5","","1",1479.03289473684,2056.35067462696,1762.45523144874,1267.51532890516,0.719175900918209,0.163838328668426,0.0253261688994735,"Chr5",570513,568114,"C","5",569313.5
"1903","orf19.3994","Chr5","OST3","1",849.28851776878,1076.79940318302,984.799660846364,676.658594474681,0.687102789914796,0.0629593355511593,0.00542897504061190,"Chr5",1102489,1101299,"C","5",1101894
"1904","orf19.4290","Chr5","TRR1","1",1329.59440488932,1945.47691579191,1614.52630470188,1375.41187145596,0.851898087662267,0.406117944006683,0.298440465941862,"Chr5",611373,612335,"W","5",611854
