orf,chr,gene,geneflag,WtMean,MutMean,WtMean2,MutMean2,fold.mut.by.wt,p,p.paired,sd.ratio
orf19.4424,Chr1,PHO3,1,277.42,380.24,278.38,262.06,0.93,0.45,0.46,5.23
orf19.4569,Chr4,,1,432.06,739.14,461.46,469.86,1.02,0.81,0.79,0.83
orf19.2198,Chr2,,1,446.49,669.25,476.97,447.36,0.94,0.79,0.84,0.58
orf19.5987,Chr3,,1,901.63,2060.11,1040.12,1271.61,1.22,0.3,0.15,0.38
orf19.1508,Chr2,,1,271.8,398.07,257.76,260.41,1.01,0.66,0.72,6.01
orf19.2500,Chr1,,1,586.12,1104.86,655.95,696.87,1.06,0.81,0.71,0.52
orf19.7424,Chr3,NSA2,1,430.97,913.1,460.5,572.03,1.24,0.47,0.53,1.62
orf19.397,Chr1,MRPL28,1,1388.28,2683.9,1607.81,1542.34,0.96,0.66,0.44,0.46
orf19.2677,Chr4,GPI16,1,728.71,1246.82,815.78,792.69,0.97,0.87,0.85,0.55
orf19.1237,Chr4,ARO9,1,922,2857.68,1060.34,1742.12,1.64,0.02,0.03,0.94
orf19.4413,Chr4,CMD1,1,8084.3,25387.5,10824.51,16682.25,1.54,0.27,0,0.41
orf19.6233,Chr1,,1,1226.27,2588.92,1422.47,1582.11,1.11,0.72,0.35,0.62
orf19.5537,Chr6,WSC2,1,735,993.57,832.87,629.68,0.76,0.08,0.02,0.16
orf19.2748,Chr4,ARG83,1,260.8,340.12,242.19,213.92,0.88,0.65,0.67,3
orf19.2179,Chr2,RPS10/SIT1/ARN1/YHL040C,1,16038.28,35577.7,20531.23,21034.28,1.02,0.84,0.82,0.51
orf19.4752,Chr1,MSN4,1,739.42,1153.12,884.27,808.77,0.91,0.75,0.56,0.48
orf19.5364,Chr4,ECM2,1,1343.21,2865.24,1669.32,1899.13,1.14,0.4,0.31,0.5
orf19.2190,Chr2,VRP1,1,824.92,1244.57,965.63,786.44,0.81,0.52,0.29,0.39
orf19.2356,Chr6,CRZ2,1,12238.08,12069.18,14760.92,7017.47,0.48,0.05,0.01,0.23
orf19.223,Chr2,KIN82,1,3429.82,4977.45,4236.8,3114.52,0.74,0.24,0.03,0.18
orf19.5604,Chr6,MDR1/BEN/BENR/BMR1,1,355.41,734.58,351.54,426.02,1.2,0.46,0.45,6.01
orf19.6349,Chr1,RSV162,1,281.57,438.63,272.1,290.34,1.05,0.43,0.41,4.91
orf19.6704,Chr7,,1,525.76,755.85,588.47,505.34,0.86,0.72,0.79,0.66
orf19.7368,Chr3,PUB1,1,940.78,1639.67,1073.89,1029.54,0.96,0.75,0.71,0.32
orf19.589:6364,Chr5:R,VPS21,1,1471.43,3435.82,1909.95,2418.76,1.27,0.54,0.2,0.36
orf19.7059,Chr7,,1,336.06,790.37,329.5,487.06,1.48,0.18,0.21,1.96
orf19.7422,Chr3,LCP5,1,550.25,1448.21,602.27,878.3,1.46,0.09,0.11,0.83
orf19.3574,Chr2,MDJ2,1,305.11,615.18,308.05,419.18,1.36,0.23,0.26,4.08
orf19.6861,Chr1,APC5,1,456.7,792.4,486.7,516.94,1.06,0.64,0.54,5.22
QC-LLD-1,NA,NA,0,700.26,1108.02,851.87,771.53,0.91,0.69,0.54,0.47
QC-LLD-2,NA,NA,0,297.74,441.92,288.11,283.14,0.98,0.33,0.41,2.3
QC-LLD-3,NA,NA,0,230.51,323.23,201.05,201.22,1,0.04,0.06,80.9
QC-LLD-4,NA,NA,0,208.43,341.36,171.7,213.65,1.2,0.01,0.02,21.61
orf19.97,Chr6,CAN2/CAN1,1,2504.65,5016.99,3039.59,3566.49,1.17,0.66,0.6,0.57
orf19.2587,ChrR,HNM2,1,3198.33,913.73,3646.53,611.92,0.17,0.01,0.01,0.33
orf19.4651,Chr4,PGA53,1,2911.52,7212.41,3724.77,4398.36,1.18,0.38,0.31,0.51
orf19.3419,Chr6,MAE1,1,1277.42,2600.26,1688.75,1894.32,1.12,0.62,0.29,0.37
orf19.1738.1,ChrR,UGP1,1,791.59,2123.34,902.7,1309.82,1.45,0.15,0.05,0.7
orf19.1202,Chr6,,1,693.32,1196.96,773.53,755.39,0.98,0.95,0.94,0.37
orf19.5039,Chr4,RRP42,1,644.4,1350.79,720.32,854.38,1.19,0.32,0.36,0.53
orf19.5214,Chr2,VSP33,1,611.92,959.89,686.09,606.69,0.88,0.89,0.73,0.44
orf19.3930,Chr5,YUH2,1,775.14,1255.3,918.89,862.71,0.94,0.79,0.76,0.42
orf19.4356,ChrR,HGT3/YDL199C,1,212.39,312.09,180.93,201.28,1.06,0.26,0.28,11.76
orf19.1333,Chr7,SNG3,1,409.06,653.03,441.11,471.84,1.07,0.76,0.72,0.61
orf19.2425.2,ChrR,,1,857.85,1750.73,964.54,1058.34,1.1,0.84,0.78,0.51
orf19.7300,ChrR,,1,355.63,711.84,361.95,456.31,1.26,0.31,0.31,4.74
orf19.3232,Chr2,,1,1023.79,2259.57,1265.79,1501.78,1.18,0.53,0.4,7.87
orf19.3649,Chr6,FES1,1,1225.76,2618.44,1568.42,1649.14,1.05,0.81,0.64,0.49
orf19.3518,ChrR,ODC1,1,1685.73,4153.51,1974.31,2429.12,1.23,0.38,0.24,0.44
orf19.922,Chr5,ERG11(ERG16)/ERG11/CYP51/ERG16/L1A1/P45014DM,1,1702.62,1965.27,2004.01,1300.04,0.65,0.02,0.08,0.32
orf19.7050,Chr7,NOP15,1,400.55,956.41,401.85,571.48,1.42,0.09,0.01,0.34
orf19.5616,Chr6,,1,207.82,268.47,176.88,177.21,0.94,0.3,0.32,7.13
orf19.814.3,Chr2,SSY1.5,1,733.17,1214.62,836.4,820.61,0.98,0.94,0.93,0.4
orf19.4280,Chr5,,1,349.75,368.36,379.35,264.16,0.7,0.75,0.65,0.68
orf19.4078,Chr2,RRP45,1,295.11,494.64,286.94,336.98,1.17,0.41,0.43,1.75
orf19.4418,Chr4,FMT1,1,486.54,1040.65,529.16,654.9,1.24,0.26,0.24,0.75
orf19.4765,Chr1,CCW12/PGA6,1,10293.43,19296.95,11877.7,10820.88,0.91,0.69,0.15,0.29
orf19.763,Chr1,CBC2,1,828.92,1264.46,1013.09,842.91,0.83,0.97,0.94,1.2
orf19.6898.1,Chr7,,1,1928.38,3565.75,2451.02,2394.67,0.98,0.93,0.81,2.05
orf19.3170,Chr5,BUD27,1,548.65,739.46,603.22,486.52,0.81,0.37,0.47,0.45
orf19.2953,Chr1,TOM20,1,1854.29,4598.04,2386.21,2905.1,1.22,0.17,0.29,0.6
orf19.3784,Chr4,,1,237.58,327.35,207.17,201.89,0.97,0.39,0.42,41.1
orf19.2167,Chr2,,1,557.38,1250.55,603.97,739.34,1.22,0.77,0.67,1.02
orf19.4779,Chr1,,1,2721.98,6414.89,3447.57,4029.97,1.17,0.61,0.19,0.32
orf19.4658,Chr4,,1,548.42,1427.44,599.3,848.12,1.42,0.4,0.43,1.19
orf19.1421,Chr4,DAL3,1,296.13,709.07,292.45,430.84,1.47,0.16,0.22,3.72
orf19.7235,Chr1,,1,668.12,1234.53,756.09,818.07,1.08,0.65,0.63,0.4
orf19.5758,Chr6,PPQ1,1,2335.8,5302.15,2883.24,3627.88,1.26,0.58,0.17,0.4
orf19.6792,Chr3,RRD1,1,505.19,887.98,548.1,558.98,1.02,0.78,0.79,0.83
orf19.7417,Chr3,TSA1,1,14133.71,40138.75,19712.24,28158.24,1.43,0.21,0.03,0.48
orf19.6524,Chr7,TOM40,1,3711.67,5370.53,4528.43,3216.1,0.71,0.38,0.07,0.26
orf19.2876,Chr4,CBF1,1,813.75,1162.23,962.83,822.87,0.85,0.45,0.36,0.35
orf19.3689,Chr1,,1,690.49,1058.93,763.38,714.44,0.94,0.65,0.59,0.34
orf19.3512,ChrR,CIS36,1,237.05,299.24,210.89,193.59,0.88,0.49,0.5,2.56
orf19.1484,Chr2,,1,272.94,408.33,255.64,266.26,1.02,0.46,0.49,4.92
orf19.1226,Chr4,,1,432.39,708.9,461.26,458.9,0.99,0.89,0.86,0.55
orf19.596.1,Chr5,NOP10,1,1493.61,3610.16,1921.19,2186.27,1.14,0.64,0.6,0.82
orf19.6396,ChrR,,1,1394.55,2220.07,1625.55,1397.44,0.86,0.37,0.22,0.27
orf19.1513,Chr2,FAB1,1,399.94,654.48,413.12,411.89,1,0.85,0.82,0.61
orf19.3131,Chr4,OYE32,1,2837.19,9085.94,3825.01,6000.45,1.57,0.21,0.12,0.92
orf19.5266,Chr1,,1,236.96,371.48,212.22,229.09,1.06,0.31,0.33,11.44
orf19.6643,ChrR,MCT1,1,617.67,1040.49,710.91,690.82,0.97,0.94,0.89,0.46
orf19.5197,ChrR,APE2,1,3419.18,6998.12,4191.24,4555.83,1.09,0.58,0.39,0.38
orf19.1643,Chr3,PCP1,1,1684.07,2757.11,2146.39,1822.66,0.85,0.59,0.23,0.34
orf19.5461,Chr3,,1,203.95,258.73,171.61,168.45,0.92,0.54,0.55,3.6
orf19.1283,Chr5,MEC1,1,662.47,857.66,747.86,535.37,0.72,0.08,0.13,0.35
orf19.7108,Chr7,RPE1,1,4371.67,17227.62,5777.07,11457.03,1.98,0.13,0,0.51
orf19.6062.3,Chr1,,1,1568,3274.24,2028.57,2175.24,1.07,0.69,0.58,0.35
orf19.2765,Chr4,PGA62/FLO1,1,50425.16,62243.42,64938.51,43657.21,0.67,0.02,0.04,0.24
orf19.6061,Chr1,,1,1190.05,2463.47,1491.45,1753.42,1.18,0.73,0.27,0.37
orf19.4563,Chr4,,1,1048.25,1933.73,1240.62,1146.11,0.92,0.55,0.51,0.42
orf19.23,Chr2,RTA3/YOR49,1,509.83,1296.68,560.26,790.16,1.41,0.28,0.22,0.98
orf19.4837,Chr1,DAM1,1,515.16,659.49,570.5,434.59,0.76,0.21,0.28,0.41
orf19.971,Chr5,SKN7,1,726,960.63,854.37,712.48,0.83,0.63,0.47,0.47
orf19.2270,Chr2,SMF12/SMF1,1,768.24,1821.25,981.55,1413.27,1.44,0.38,0.14,0.75
orf19.6031,Chr1,VPS27,1,764.84,1600.89,875.1,1026.22,1.17,0.34,0.34,0.45
orf19.1795,Chr4,PUF3,1,259.27,353.31,250.17,233.1,0.92,0.41,0.4,4.72
orf19.6273,Chr1,,1,485.53,955.22,549.13,643.16,1.17,0.56,0.58,0.98
orf19.3431,Chr6,MIP1,1,443.53,607.61,460.7,380.11,0.83,0.64,0.58,0.67
orf19.3435,Chr6,,1,905.12,1133.43,1014.29,660.93,0.65,0.34,0.13,0.23
orf19.6561,Chr7,LAT1,1,7210.87,16027.38,8800.8,10073.62,1.14,0.37,0.21,0.33
orf19.4686,Chr4,,1,1041.46,1806.94,1234.39,1150.94,0.93,0.73,0.44,0.25
orf19.5968,Chr3,RDI1,1,1993.8,5178.47,2490.42,3315.58,1.33,0.39,0.06,0.37
orf19.3611,Chr2,,1,3712.08,7655.15,4929.68,5425.63,1.1,0.83,0.67,0.32
orf19.1280,Chr5,SUI1,1,5899.3,10442.49,8481.5,8466.14,1,0.78,0.29,0.27
orf19.896,Chr2,CHK1/HK1,1,676.35,1248.12,753.46,764.88,1.02,0.85,0.84,0.47
orf19.1111,Chr5,TAF9,1,669.54,932.47,792.16,674.63,0.85,0.48,0.38,0.39
orf19.4940,Chr1,HIP1,1,315.11,586.12,321.04,400.98,1.25,0.42,0.38,14.29
orf19.2820,ChrR,NUP57,1,1003.3,1990.79,1183.6,1335.36,1.13,0.66,0.42,0.46
orf19.1691,Chr3,@,1,2041.73,2936.97,2384.25,1699.9,0.71,0.54,0,0.1
orf19.398,Chr1,,1,319.76,446,343.16,295.2,0.86,0.74,0.75,4.09
orf19.2471,Chr1,GIM5,1,552.78,1157.14,628.59,688.55,1.1,0.71,0.56,2.52
orf19.3237,Chr2,UFD4,1,976.32,1973.59,1128.96,1236.96,1.1,0.58,0.4,0.27
orf19.7421,Chr3,CYP5,1,5321.63,14244.66,6869.97,9047.41,1.32,0.61,0.19,0.48
orf19.7544,ChrR,CTA2,1,2283.89,5130.38,3002.48,3323.1,1.11,0.47,0.5,0.54
orf19.3761,Chr1,CDC54,1,783.6,1169.69,857.63,676.4,0.79,0.34,0.04,0.24
orf19.2090,Chr2,ECM16,1,694.72,1222.63,775.16,721.33,0.93,0.64,0.43,0.33
orf19.6759,Chr3,MDS4,1,1366.2,2167.71,1619.94,1354.65,0.84,0.95,0.86,1.15
orf19.7257,Chr1,MLH3,1,472.73,786.51,529.12,519.06,0.98,0.76,0.77,0.93
orf19.3216,Chr5,,1,1219.41,1254.9,1392.6,755.79,0.54,0.26,0.02,0.27
orf19.3448,Chr6,,1,2496.97,3831.44,3450.29,2871.11,0.83,0.7,0.05,0.07
orf19.5184,Chr7,PRP20,1,1499.57,2787.18,1720.54,1628.05,0.95,0.96,0.85,0.43
orf19.4471,Chr1,,1,335.51,525.78,331.85,330.57,1,0.71,0.73,1.55
orf19.1809,Chr?,FOX2,1,3830.9,4620.97,4490.53,2707.88,0.6,0.19,0,0.13
orf19.831,Chr2,,1,403.58,525.2,418.02,336.98,0.81,0.38,0.48,0.57
orf19.477,ChrR,RRF1,1,983.26,2117.34,1188.38,1408.81,1.19,0.72,0.36,1.26
orf19.541,ChrR,,1,444.56,1376.71,482.11,841.47,1.75,0.18,0.11,1.7
orf19.6038,Chr1,UGA3,1,400.92,572.48,410.65,352.2,0.86,0.5,0.51,0.56
orf19.151,Chr2,,1,3225.09,5556.32,4273.26,3460.66,0.81,0.88,0.54,0.37
orf19.3804,Chr4,,1,488.62,1361.25,545.09,848.41,1.56,0.07,0.15,1.33
orf19.334,Chr3,,1,659.93,1390.42,724.19,811.35,1.12,0.99,0.99,0.67
orf19.6926,Chr3,CSC25/CDC25,1,705.75,1245.08,793.24,787.76,0.99,0.86,0.78,0.25
orf19.4801,Chr1,MOD5,1,406.18,624.42,416.03,387.11,0.93,0.99,0.99,1.18
orf19.6032,Chr1,SPE1/ODC/ODC1,1,1002.12,2184.3,1140.86,1313.38,1.15,0.37,0.28,0.54
orf19.5879,Chr3,AYR2,1,882.64,1496.31,1077.13,1022.44,0.95,0.99,0.98,0.57
orf19.6020,Chr1,ATG3,1,449.08,994.22,497.17,669.95,1.35,0.29,0.16,1.38
orf19.2250,Chr2,SPE3,1,5727.02,11348.43,7108.75,7088.72,1,0.99,0.97,0.13
orf19.1290,Chr4,XKS2,1,304.44,654.21,305.27,446.05,1.46,0.21,0.19,6.2
orf19.7149,Chr7,,1,690.3,1123.2,779.2,714.48,0.92,0.8,0.7,0.38
orf19.6569,Chr7,NUP2,1,247.28,350.97,216.73,217.46,0.97,0.5,0.49,2.17
orf19.2585,ChrR,,1,205.84,274.83,180.53,179.69,0.91,0.54,0.56,2.99
orf19.5859,Chr3,DAL8,1,248.81,387.24,227.41,246.69,1.08,0.36,0.38,43.61
orf19.1507,Chr2,AMN1(CST13:ICS4),1,322.61,423.78,316.71,270.08,0.85,0.98,0.98,1.04
orf19.1577,Chr2,GAT2,1,230,333.32,195.45,208.55,1.07,0.49,0.58,4.32
orf19.985,Chr1,,1,525.76,636.55,555.14,379.28,0.68,0.2,0.14,0.49
orf19.1866,Chr2,VMA10,1,1949.87,3943.69,2483.56,2585.42,1.04,0.68,0.73,0.44
orf19.841,Chr2,COC1,1,411.17,648.46,423.28,401.93,0.95,0.86,0.84,0.57
orf19.5504,Chr7,,1,485.36,734.11,556.46,535.94,0.96,0.57,0.51,18.05
orf19.6539,Chr7,RVB2,1,3001.38,5986.56,3804.07,3900.41,1.03,0.92,0.92,0.32
orf19.3171,Chr5,ACH1,1,3227.38,6400.58,3847.85,3889.65,1.01,0.9,0.82,0.3
orf19.6163,ChrR,CSE4,1,853.55,1409.95,1058.83,1050.79,0.99,0.8,0.71,0.38
orf19.4191.1,Chr4,RLP24,1,965.76,1889.46,1103.97,1112,1.01,0.92,0.82,0.53
orf19.2653,Chr5,,1,236.22,328.43,209.94,203.62,0.96,0.35,0.39,19.4
orf19.3127,Chr4,CZF1/ZNF1,1,461.48,784.08,482.13,492.9,1.02,0.67,0.54,1.03
orf19.3791,Chr4,FGR10,1,255.05,365.9,234.65,230.48,0.97,0.26,0.27,30.02
orf19.6054,Chr1,BUL2,1,376.2,576.95,382.41,370.99,0.97,0.76,0.81,1.08
orf19.7098,Chr7,,1,505.57,1829.74,593.67,1210.02,2.04,0.03,0.04,2.52
orf19.1669,Chr3,AFG3,1,1332.74,2125.58,1512.43,1325.91,0.88,0.61,0.37,0.22
orf19.972,Chr5,,1,275.5,470.48,257.06,318.34,1.24,0.35,0.43,3.09
orf19.1857,Chr1,SPT11,1,921.1,2438.73,1089.71,1518.3,1.39,0.07,0.1,0.67
orf19.4841,Chr1,SHY1,1,484.6,930.98,514.93,589.16,1.14,0.37,0.48,0.62
orf19.6407,ChrR,,1,447.62,751.2,485.44,485.65,1,0.73,0.76,0.77
orf19.3064,Chr1,MRPL27,1,1560.19,3616.43,1800.35,2079.01,1.15,0.75,0.38,0.52
orf19.728,Chr1,TSC11,1,464.42,729.58,488.52,456.54,0.93,0.93,0.91,0.75
orf19.658,Chr1,MRC1,1,601.48,918.55,677.68,583.98,0.86,0.57,0.42,0.54
orf19.5140,Chr7,,1,731.86,1310.49,865.22,865.1,1,0.87,0.73,1.5
orf19.1964,Chr5,,1,485.45,649.05,548.02,441.94,0.81,0.75,0.64,0.67
orf19.3087,Chr4,UBI3/RPS31,1,16539.55,38575.22,20985.57,23469.8,1.12,0.75,0.63,0.36
orf19.318,Chr3,CAF17,1,427.08,780.62,461.53,496.09,1.07,0.59,0.55,1.74
orf19.1580,Chr2,,1,267.1,417.81,251.07,262.31,1.04,0.42,0.48,7.79
orf19.3688,Chr1,GON7,1,2685.11,4535.58,3421.97,2677.07,0.78,0.98,0.92,1.11
orf19.6152,ChrR,,1,958.88,1668.64,1232.84,1181.64,0.96,0.94,0.89,0.78
orf19.4465,Chr1,,1,247.71,400.2,222.95,248.94,1.12,0.34,0.39,5.66
orf19.2794,Chr1,YDL219W,1,504.62,919.14,547,555.75,1.02,0.96,0.95,0.62
orf19.5029,Chr1,MODF,1,385.49,672.47,399.53,435.75,1.09,0.56,0.46,2.18
orf19.5509.2,Chr7,,1,416.41,718.14,430.86,449.59,1.04,0.69,0.75,0.64
orf19.1354,Chr2,YER67,1,14533.96,35260.44,19224.25,23481.92,1.22,0.42,0.21,0.48
orf19.6432,ChrR,AFG2,1,580.97,935.28,625.78,581.12,0.93,0.75,0.61,0.41
orf19.3108,Chr4,MGT1,1,407.66,962.85,449.44,686.79,1.53,0.24,0.18,5.09
orf19.5045,Chr4,,1,908.72,1187.14,1224.17,809.34,0.66,0.95,0.93,1.51
orf19.1153,Chr1,GAD1,1,4342.62,9521.61,5312.54,5741.56,1.08,0.69,0.21,0.15
orf19.427,Chr1,RIF1,1,324.72,496.54,317.9,303.28,0.95,0.84,0.85,1.58
orf19.6344,Chr1,RBK1,1,690.24,1644.22,789.23,1001.67,1.27,0.25,0.35,0.75
orf19.3300,Chr1,ZPR1,1,4630.95,7131.46,5661,4395.06,0.78,0.73,0.3,0.34
orf19.5177,Chr7,,1,478.88,947.34,509.04,599.55,1.18,0.15,0.27,0.48
orf19.2169,Chr2,,1,184.41,232.22,144.88,151.66,0.94,0.54,0.57,2.73
orf19.2685,Chr4,PGA54,1,1751.24,2928.31,2043.47,1743.85,0.85,0.37,0.03,0.12
orf19.6294,Chr5,MYO1,1,531.64,521.42,558.81,318.61,0.57,0.02,0.01,0.18
orf19.1730,Chr3,NHP10,1,1076.68,2038.91,1306.76,1361.4,1.04,0.86,0.71,0.55
orf19.3675,Chr1,GAL7,1,2541.65,5784.91,3700.92,4734.2,1.28,0.69,0.05,0.23
orf19.1437,Chr4,,1,421.19,554.42,466.74,406.49,0.87,0.83,0.82,0.86
orf19.2808,Chr3,CAT8,1,391.14,502.71,401.66,320.26,0.79,0.61,0.58,5.3
orf19.6740,Chr3,PRP19,1,738.16,1264.4,841.98,793.52,0.94,0.92,0.86,0.59
orf19.5316,Chr4,FGR29,1,314.29,431.87,299.95,264.43,0.88,0.87,0.87,2.61
orf19.4363,ChrR,SGD1/YLR336C,1,603.07,1087.17,680.05,708.2,1.04,0.82,0.79,0.57
orf19.5735.3,Chr6,CDC50,1,1026.03,1765.72,1198.27,1086.57,0.91,0.95,0.9,0.72
orf19.1244,Chr4,GYP2(MIC1,1,615.7,1399.94,660.9,807.59,1.22,0.48,0.28,0.9
orf19.1684,Chr3,,1,425.01,627.19,442.61,415.41,0.94,0.63,0.58,27.59
orf19.6562,Chr7,RNH35,1,806.42,1217.81,904.89,720.19,0.8,0.22,0.1,0.29
orf19.1289,Chr3,SCT1,1,397.54,597.96,403.98,359.58,0.89,0.87,0.87,0.94
orf19.191,Chr2,KIC1,1,631.23,857.98,672.59,541.19,0.8,0.5,0.4,0.36
orf19.5217,Chr2,TES3,1,246.66,368.07,221.81,224.73,1.01,0.44,0.48,11.8
orf19.4781,Chr1,GRP1,1,691.16,1243.53,805.12,785.03,0.98,0.92,0.88,0.63
orf19.3249,Chr2,LAG1,1,553.33,1052.84,629.09,700.41,1.11,0.51,0.53,0.74
orf19.1525,Chr2,NMD4,1,365.68,659.84,366.16,434.19,1.19,0.38,0.43,1.11
orf19.4347,Chr5,PRR1,1,1072.09,1279.69,1292.33,995.92,0.77,0.27,0.28,0.51
orf19.4545,Chr1,MBP12,1,383.42,473.22,385.69,288,0.75,0.83,0.81,11.29
orf19.2934,Chr1,,1,318.19,397.01,307.21,244.92,0.8,0.83,0.84,0.82
orf19.1117,Chr5,FDH3,1,706.14,1584.84,890.97,1264.04,1.42,0.54,0.28,0.6
orf19.4337,Chr5,ESBP6,1,664.72,671.07,759.2,446.97,0.59,0.5,0.27,0.78
orf19.1587,Chr2,HGT20,1,547.17,931.54,610.4,639.92,1.05,0.91,0.88,0.39
orf19.5636,Chr4,RBT5,1,736.31,769.59,866.69,526.9,0.61,0.05,0.08,0.34
orf19.419,Chr1,,1,554.99,1510.1,691.42,1136.02,1.64,0.35,0.16,5.07
orf19.1666,Chr3,,1,1349.29,3103.96,1659.52,2224.85,1.34,0.91,0.7,0.82
orf19.3690.2,Chr1,RPL26A,1,15406.14,38916.85,19613.12,24262.54,1.24,0.44,0.26,0.46
orf19.4059,Chr1,YHC3,1,586.58,998.02,671.33,683.13,1.02,0.89,0.82,0.53
orf19.3969,Chr5,HSR1,1,495.19,478.78,541.07,320.04,0.59,0.05,0.06,0.34
orf19.3241,Chr2,,1,457.09,730.51,472.26,437.96,0.93,0.72,0.7,0.79
orf19.6992,Chr3,QDR2,1,2918.52,4423.48,3710.49,3056.56,0.82,0.22,0.07,0.2
orf19.5101,Chr1,CCR4,1,1514.55,2831.03,1820.94,1778.26,0.98,0.89,0.61,0.28
orf19.2901,Chr4,NUP60,1,266.33,429.55,242.96,261.09,1.03,0.48,0.47,1.87
orf19.772,Chr1,LYS21,1,4554.21,10948.89,5519.36,6472.96,1.17,0.55,0.04,0.14
orf19.1339,Chr7,CPY1,1,1740.03,3216.39,2009.81,1992.33,0.99,0.97,0.88,0.39
orf19.4488,Chr2,SWI3,1,574.95,750.06,621.11,472.99,0.76,0.21,0.16,0.29
orf19.7652,ChrR,CKA1,1,1264.57,2725.06,1582.09,1798.55,1.14,0.57,0.18,0.42
orf19.7207,Chr1,DOA4,1,597.71,1192.16,673.02,810.03,1.2,0.29,0.26,0.42
orf19.56,Chr1,ARG2,1,517.21,985.78,556.3,614.74,1.11,0.47,0.53,0.57
orf19.1946,Chr5,@,1,1461.16,1444.38,1672.69,907.41,0.54,0.62,0.27,0.82
orf19.3287,Chr2,BUD22,1,325.34,515.51,315.08,310.46,0.99,0.76,0.73,2.01
orf19.1980,Chr5,GIT4,1,249.5,335.87,224.99,212.85,0.95,0.52,0.56,14.5
orf19.7445,Chr3,VID24,1,2530.93,5163.25,3497.08,3860.41,1.1,0.78,0.35,0.25
orf19.4898,Chr1,,1,4121,11436.24,5420.69,7076.09,1.31,0.15,0.17,0.6
orf19.6166,ChrR,,1,262.49,476.58,243.11,286.71,1.17,0.35,0.4,31.58
orf19.3142,Chr4,,1,565.48,1346.28,615.2,835.29,1.36,0.51,0.33,1.37
orf19.7088,Chr7,SUA5,1,671.05,1735.69,760.59,1075.88,1.41,0.05,0.03,0.47
orf19.7492,ChrR,,1,271.71,415.57,248.33,262.17,1.06,0.52,0.58,2.3
orf19.5869,Chr3,BSD2,1,523.93,1013.06,591.99,658.45,1.11,0.61,0.48,1.55
orf19.4739,Chr1,MSS116,1,1099.2,1771.69,1252.73,1080.64,0.86,0.76,0.51,0.44
orf19.4123,Chr2,RLR1,1,1167.39,1679.5,1430.96,1061.35,0.74,0.16,0.08,0.26
orf19.2262,Chr2,ZTA1,1,2583.05,4357.01,3257.43,2813.67,0.86,0.49,0.17,0.21
orf19.4484,Chr?,,1,2466.83,5700.19,3393.27,4479.13,1.32,0.78,0.68,0.81
orf19.5171,Chr7,PMT1,1,1782.83,2729.79,2080.69,1624.09,0.78,0.27,0.04,0.17
orf19.7254,Chr1,,1,889.58,1587.79,1040.51,1051.28,1.01,0.99,0.98,0.31
orf19.536,ChrR,TAF5,1,1152.48,1527.52,1313.45,910.92,0.69,0.37,0.03,0.23
orf19.2225,Chr5,UBC13,1,2286.07,4260.41,2998.89,3091.64,1.03,0.93,0.84,0.25
