orf	chr	gene	geneflag	WtMean	MutMean	fold.mut.by.wt	p	p.paired
orf19.6035	Chr1		1	1908.53835333329	3915.99558529726	2.05182965197316	0.00765961244401672	0.00115594451581403
orf19.2769	Chr4		1	10796.7531515865	26704.5475811242	2.47338687901744	0.00352178204024498	0.0229838596772875
orf19.5660	Chr4	TIM11	1	5874.14796751708	9790.8817321345	1.66677478781199	0.00111918833928533	0.000325618696730048
orf19.2896	Chr4	SOU1	1	3050.75917863815	9197.79980317524	3.0149216193725	2.17967087129266e-08	7.64628487992469e-11
orf19.7116	Chr7	LEO1	1	1970.9959625867	4642.64831190024	2.35548342057855	0.00932579395876993	0.00491856271267333
orf19.6999	Chr3	TCD5	1	416.211908665075	1052.81020758151	2.52950524880033	0.00376756611502716	0.00431968677550987
orf19.3097	Chr4	PDA1	1	12697.0106604125	28123.3629979945	2.21495939084931	0.000229821770119342	0.000650128224879825
orf19.2907	Chr4	PGA42	1	459.524725251666	948.725851265744	2.06458063980379	0.00993641181694316	0.00428604381621821
orf19.5629	Chr6	QCR7	1	4995.88437048299	10524.5420387074	2.10664243970281	0.0062248133892566	0.00162157462807727
orf19.3656	Chr6	COX15	1	569.068565283953	886.758404862323	1.55826285083916	0.000702985403684059	0.000612213527326557
orf19.6563	Chr7		1	1037.86076024963	1855.11654184471	1.78744260588338	0.0085842481658926	0.0264334829349044
orf19.4220	Chr5		1	550.96833302318	971.305265234936	1.76290579152772	0.00175639385590851	0.0196471919956558
orf19.4195	Chr6	FCY1	1	310.867423282429	555.273070394198	1.78620540078180	0.00122203921451837	0.00266711452409509
orf19.647.3	ChrR		1	641.769022669002	1075.05099953001	1.67513694422187	0.00259879837321673	0.00557356253030058
orf19.42	Chr?		1	627.529333261668	1076.73121155299	1.71582610482371	0.000366771539023608	0.0080791091876505
orf19.1911	Chr2	TOS2/PGA52	1	4763.10813683696	11409.6249791656	2.39541590310028	0.00245813879933168	0.00524666705180116
orf19.2458	Chr1	SIP5	1	1155.14344009696	1935.85169101487	1.67585394490261	0.00529113416189641	0.000479330575532985
orf19.5378	Chr3	SCL1	1	843.643062450956	1867.13481808243	2.21318102546593	0.000549647727992278	0.00121421009197565
orf19.7123	Chr7		1	2080.73621086204	4651.00603503115	2.23526942567325	0.000789680775583992	0.000328538099422906
orf19.2531	ChrR	CSP37	1	3520.13194480521	7381.27665458517	2.09687499512	0.00128422789043306	0.000738298768129386
orf19.7420	Chr3	MED6	1	838.524352875802	1389.67130338323	1.65728198425867	0.00772232293459594	0.00499246324999662
orf19.3799	Chr4	RTN2	1	1799.93059573498	4617.32427136093	2.56527906259379	0.00933756837948493	0.00252341520927025
orf19.6265	Chr1	RPS14/RPS22A	1	24780.5789137024	40344.3735241984	1.62806420563040	0.00173347019695830	0.000236202740939176
orf19.4015	Chr5	GPA1/CAG1	1	296.080942089461	1143.36975702478	3.86167967771227	0.000821111417440379	0.000697537105591301
orf19.6472	Chr7	CPR1/CYP1	1	25164.0128871319	38925.7312930489	1.5468809155218	0.00210071141989963	0.00895576337017883
orf19.3324	Chr1	TIF1/TIF	1	13732.7930475967	25066.6097175356	1.82531038155580	0.00981779470096248	0.00137574019911976
orf19.6551	Chr7	STE18	1	786.502490337564	2784.41188956971	3.54024548399669	0.00753037068152001	0.0152723415139436
orf19.1306	Chr4		1	1623.14043336724	3047.05914236190	1.87726156019705	0.00955871113557904	0.0200538713320444
orf19.1709	Chr3	PXP18	1	1155.67643492639	2341.99520831452	2.02651463466389	0.00985415353143556	0.00659100592700483
orf19.350	Chr3	PRE9/Y13	1	1544.63943662022	3777.14177409518	2.44532263293745	0.00928214731471676	0.00531101766871253
orf19.3425	Chr6		1	830.312674080922	1360.46155289566	1.63849305853553	0.00190372646981723	0.00570738486756102
orf19.802	Chr2	UGA12	1	1497.52893974939	3151.88796171661	2.10472591083554	0.00998304454591653	0.0264656981158166
orf19.460	Chr1	CEK2(FUS3:ERK2)/CEK2/FUS3	1	294.295094252318	622.639137869194	2.1156966256983	0.00242106268998051	0.00161451453116667
orf19.1764	Chr2		1	893.879012441935	1642.49611157509	1.83749264577546	0.00441679522992285	0.000739198351739581
orf19.2299	Chr1	URM1	1	469.37178506493	790.910295853662	1.68504013453696	0.00450016676727277	0.00198170357205577
orf19.7269	Chr1		1	3038.41942557718	4907.30445836822	1.61508461177509	0.00950081551841851	0.00852805971181429
orf19.1412	Chr4		1	484.668551775055	936.433297838752	1.93211070619117	0.00989944358402863	0.00807667108173636
orf19.5440	Chr3		1	4397.84410379384	8843.29298956426	2.01082457241618	0.00306725562209009	0.00125025127108361
orf19.5808	Chr2	RRG1	1	470.2272939803	780.71786173882	1.66029890594043	0.000843516732618822	0.00408250661804956
orf19.3821	Chr4		1	949.48333658172	1727.42064222978	1.81932697044347	0.00302394687875401	0.00139654947117312
orf19.1417	Chr4		1	329.72498623821	624.820977152558	1.89497612625922	0.00579558449391936	0.0044258505843392
orf19.1272	Chr4		1	1306.79312892887	2788.51273258273	2.13385934686415	5.90105823899903e-05	0.000102002499067045
orf19.7110	Chr7	TAD1	1	545.947398671898	1090.41826958625	1.99729547615551	0.00976283708341441	0.00286707867623829
orf19.799	Chr2	STE4	1	485.794831868308	1254.48615719347	2.58233738792335	0.00138570175422758	0.0019273205282337
orf19.6756	Chr3		1	627.455474779255	1125.06530586809	1.79305998766510	0.00961551042229186	0.00932078410022933
orf19.1616	Chr3	FGR23/PGA40	1	292.429107984219	469.409551391979	1.60520802675126	0.0091635284823934	0.000137243448170161
orf19.4411	Chr4	HOS1	1	818.63651589253	1426.95174864253	1.74308343317275	0.00935448317758281	0.0195696908215102
orf19.5114	Chr1	GRD19	1	669.767856910063	1224.44755506932	1.82816709168194	0.00393019969122693	0.00867251469902167
orf19.6048	Chr1	PMT3	1	775.91500786548	1368.14614321710	1.76326805042840	0.00849905099077149	0.0236176267226980
orf19.7073	Chr7		1	431.271848881088	712.104912477882	1.65117411286037	0.00409888680345161	0.012705290441676
