"","orf","gene","A21_CHROMOSOME","WtMean2","MutMean2","fold.mut.by.wt","sd.ratio","p","p.paired","A21_START","A21_STOP","A21_STRAND","A19_CONTIG","A19_STRAND","A19_START","A19_STOP","CGH.Ratio","CGH.sd","weak"
"3738","orf19.962","","Ca21chr5",1196.208319,647.2649093,0.541097148,0.262267201,0.069301323,0.139365292,53780,53247,"C","Contig19-10080","W",104264,104797,0.580799095,0.066558079,0
"3739","orf19.961.2","","Ca21chr5",2061.161725,1837.906254,0.891684642,0.251580821,0.638188039,0.271970832,54029,54322,"W","Contig19-10080","C",104015,103722,0.558869494,0.021047134,0
"3740","orf19.956","","Ca21chr5",213.7564761,79.32234885,0.371577448,0.30063147,0.501376481,0.018618366,63318,54415,"C","Contig19-10080","W",94726,103629,0.583589925,0.041821465,0
"3741","orf19.955","","Ca21chr5",459.6074922,413.7707241,0.900269754,0.713257574,0.519071189,0.585683992,63667,64644,"W","Contig19-10080","C",94377,93400,0.581087433,0.024044432,0
"3742","orf19.954","","Ca21chr5",224.4843979,179.3525137,0.798953136,2.411239352,0.951380239,0.95044329,66052,64733,"C","Contig19-10080","W",91992,93311,0.618639635,0.070094174,0
"3743","orf19.953.1","COF1","Ca21chr5",13653.55584,11271.56133,0.825540355,0.283069112,0.298566371,0.13181747,67605,68261,"W","Contig19-10080","C",90439,89783,0.597518611,0.028554598,0
"3745","orf19.951","","Ca21chr5",384.5745379,255.0595759,0.664092092,0.500748715,0.396231479,0.368798731,72101,71613,"C","Contig19-10080","W",85943,86431,0.636828228,0.055334134,0
"3746","orf19.949","","Ca21chr5",761.8659088,522.571009,0.686128188,0.594033468,0.37430741,0.267363288,76453,74018,"C","Contig19-10080","W",81591,84026,0.570397594,0.04182741,0
"3748","orf19.947","MRP17","Ca21chr5",318.3508966,190.501853,0.598089007,18.91744413,0.919612831,0.891191401,78136,77777,"C","Contig19-10080","W",79908,80267,0.552888552,0.021418684,0
"3749","orf19.946","MET14","Ca21chr5",1374.19568,1203.952471,0.876114289,0.211261493,0.802511087,0.496253863,78890,79492,"W","Contig19-10080","C",79154,78552,0.579248738,0.025098103,0
"3750","orf19.945","VPS2","Ca21chr5",644.6912311,371.1132451,0.57564494,0.289698359,0.021680949,0.029275275,80225,79518,"C","Contig19-10080","W",77819,78526,0.471490301,0.015458022,0
"3751","orf19.944","IFG3","Ca21chr5",1266.982566,1179.933364,0.931294081,0.280742004,0.960133059,0.87276758,81598,80483,"C","Contig19-10080","W",76523,77561,0.591452139,0.026055747,0
"3752","orf19.943","FET33","Ca21chr5",166.9156748,102.4016669,0.614491921,0.305134323,0.243053857,0.217576219,83979,82117,"C","Contig19-10080","W",74065,75927,0.551265994,0.006031961,0
"3754","orf19.941","SEC14","Ca21chr5",3779.592267,1839.137602,0.486596826,0.091492551,0.067845096,0.000429371,88250,87345,"C","Contig19-10080","W",69794,70699,0.572436142,0.025640821,0
"3755","orf19.940","BUD2","Ca21chr5",172.1014016,26.05783101,0.154315019,0.167947946,0.012768138,0.010842289,93594,89881,"C","Contig19-10080","W",64450,68163,0.608301926,0.029140386,0
"3756","orf19.939","NAM7","Ca21chr5",1145.227283,777.3204799,0.678747783,0.25178039,0.279298136,0.053209562,95043,98102,"W","Contig19-10080","C",63001,59942,0.582299519,0.038276837,0
"3759","orf19.936","","Ca21chr5",147.8732613,129.7975077,0.878888943,0.558139467,0.361112127,0.302020188,105626,107950,"W","Contig19-10080","C",52418,50094,0.504762656,0.064729836,0
"3760","orf19.935","AGA1","Ca21chr5",1785.544495,2016.237515,1.129200375,0.166599329,0.816539674,0.127683642,110891,109830,"C","Contig19-10080","W",47153,48214,0.581509055,0.024497878,0
"3761","orf19.932","","Ca21chr5",408.8391976,299.2811051,0.732026447,0.254859719,0.201660567,0.07065978,125118,130268,"W","Contig19-10080","C",32926,27776,0.653717155,0.072161355,0
"3762","orf19.931","","Ca21chr5",586.2948989,348.0021789,0.593561669,0.517718942,0.221567703,0.118163997,130828,132912,"W","Contig19-10080","C",27216,25132,0.57061594,0.056124549,0
"3763","orf19.930","PET9","Ca21chr5",32362.47639,25540.15295,0.789190315,0.15623579,0.39854257,0.012877574,134740,135645,"W","Contig19-10080","C",23304,22399,0.601890659,0.025424894,0
"3765","orf19.928","","Ca21chr5",115.2766529,54.27703989,0.473808896,0.687196381,0.688689089,0.179156427,141377,139515,"C","Contig19-10080","W",16667,18529,0.609075217,0.025065564,0
"3766","orf19.927","","Ca21chr5",597.0334671,476.448949,0.798027205,0.360061422,0.510293376,0.489530379,141659,142270,"W","Contig19-10080","C",16385,15774,0.620410117,0.012637386,0
"3767","orf19.926","EXO1","Ca21chr5",422.8512216,236.8193302,0.560226892,0.305344472,0.846853334,0.196984209,144424,142325,"C","Contig19-10080","W",13620,15719,0.580951046,0.02619131,0
"3768","orf19.925","","Ca21chr5",370.2315467,296.4489204,0.800801884,16.26978822,0.8461723,0.796502073,146292,144766,"C","Contig19-10080","W",11752,13278,0.70190556,0.079260016,0
"3769","orf19.923","THR1","Ca21chr5",659.9994704,444.4225413,0.673368027,0.416353764,0.456575943,0.10856537,147787,146714,"C","Contig19-10080","W",10257,11330,0.599209887,0.065718307,0
"3770","orf19.922","ERG11","Ca21chr5",1788.922723,1100.593263,0.615226834,0.381497294,0.026520235,0.103765904,149706,148120,"C","Contig19-10080","W",8338,9924,0.555332695,0.025557191,0
"3771","orf19.921","","Ca21chr5",115.6068245,107.5136925,0.928758087,6.772603405,0.981953598,0.960577113,153233,151176,"C","Contig19-10080","W",4811,6868,0.598124557,0.029219353,0
"3772","orf19.920","RMT2","Ca21chr5",226.3825257,129.3266762,0.571590397,0.234940235,0.661837886,0.013094807,156807,158162,"W","Contig19-10080","C",1237,2,0.568760097,0.027456719,0
"3773","orf19.567","TFB3","Ca21chr5",391.0242484,242.8976434,0.621609302,0.283016644,0.304003672,0.115450455,159330,158188,"C","Contig19-10057","C",1198,56,0.614590732,0.024986527,0
"3774","orf19.568","SPE2","Ca21chr5",3163.74586,1576.740799,0.498377831,0.194533599,0.066856884,0.00565533,160775,159627,"C","Contig19-10057","C",2643,1495,0.593956882,0.040508826,0
"3776","orf19.575","HYR3","Ca21chr5",943.7598881,836.2613336,0.88609544,0.597926931,0.479672884,0.26045027,171037,174786,"W","Contig19-10057","W",12905,16654,0.492024032,0.027080409,0
"3777","orf19.576","CTF8","Ca21chr5",1121.739869,575.3945306,0.513096854,1.920728814,0.772689181,0.465156824,175559,176047,"W","Contig19-10057","W",17427,17915,0.529619365,0.030451231,0
"3778","orf19.577","","Ca21chr5",1094.508361,811.0118622,0.740982793,0.170496318,0.216993886,0.019045327,178140,176158,"C","Contig19-10057","C",20008,18026,0.615241294,0.043781358,0
"3779","orf19.578","","Ca21chr5",175.1556206,165.3035766,0.942855464,20.99331655,0.830126515,0.785747591,180051,181865,"W","Contig19-10057","W",21919,23733,0.622123683,0.025733033,0
"3780","orf19.579","FOL1","Ca21chr5",542.439165,312.5662547,0.576223611,0.387571874,0.40356177,0.10367442,184282,181916,"C","Contig19-10057","C",26150,23784,0.633927118,0.030076604,0
"3781","orf19.580","","Ca21chr5",140.0277804,192.8195756,1.377009441,1.690637219,0.822327929,0.836249038,185724,184672,"C","Contig19-10057","C",27727,26540,0.675425563,0.051224648,0
"3782","orf19.581","","Ca21chr5",411.5860457,365.0524405,0.886940761,0.658487541,0.854770738,0.86467901,188241,186145,"C","Contig19-10057","C",30109,28013,0.670976123,0.041271032,0
"3783","orf19.583","","Ca21chr5",3875.530428,2724.328033,0.702956172,0.418778321,0.265697977,0.029390388,190840,189518,"C","Contig19-10057","C",32708,31386,0.57695383,0.045737681,0
"3785","orf19.585","","Ca21chr5",807.9095831,497.9021189,0.616284457,0.808685501,0.39967652,0.342223238,194352,195203,"W","Contig19-10057","W",36220,37071,0.56317382,0.055145691,0
"3786","orf19.586","ERV46","Ca21chr5",1938.334657,1166.133684,0.601616279,0.409499563,0.169561045,0.037415313,196621,195377,"C","Contig19-10057","C",38489,37245,0.582955289,0.04717277,0
"3787","orf19.587","","Ca21chr5",423.3175624,213.2878674,0.503848379,0.578409597,0.188988973,0.095240236,196724,197917,"W","Contig19-10057","W",38592,39785,0.677342926,0.071288831,0
"3788","orf19.1981","","Ca21chr5",270.7444039,278.1649049,1.028023359,0.820827607,0.54428878,0.460339174,198650,199138,"W","Contig19-10137","C",115864,115376,0.921038478,0.218192326,0
"3790","orf19.1979","GIT1","Ca21chr5",861.8020311,1034.618937,1.200529704,0.532654412,0.93699511,0.896715704,204210,202603,"C","Contig19-10137","W",110304,111911,0.645545598,0.057020031,0
"3791","orf19.1978","GIT2","Ca21chr5",131.6244648,94.30220321,0.715542861,17.41609076,0.910368728,0.88796534,207953,206349,"C","Contig19-10137","W",106561,108165,0.641426363,0.032113799,0
"3792","orf19.1977","URA4","Ca21chr5",2646.870183,1226.349704,0.463320684,0.213545231,0.133620554,0.018650995,211286,210210,"C","Contig19-10137","W",103228,104304,0.592642228,0.041813981,0
"3793","orf19.1976","TRX2","Ca21chr5",299.7010064,297.5346203,0.992771509,6.133072587,0.752442649,0.452987073,211966,211610,"C","Contig19-10137","W",102548,102904,0.568618654,0.055059668,0
"3794","orf19.1975","","Ca21chr5",157.1923375,158.6875902,1.008434092,9.355726897,0.648539733,0.260493371,212577,213023,"W","Contig19-10137","C",101937,101491,0.679269299,0.099278308,0
"3795","orf19.1974","TFS1","Ca21chr5",3034.270894,2505.955186,0.825883803,0.358434137,0.354008431,0.306679333,213880,213101,"C","Contig19-10137","W",100634,101413,0.669545483,0.065523717,0
"3796","orf19.1973","HAP5","Ca21chr5",623.4209947,313.1584698,0.502322624,0.54286901,0.067839022,0.072258816,215592,214546,"C","Contig19-10137","W",98922,99968,0.621515411,0.050349497,0
"3797","orf19.1972","","Ca21chr5",969.098856,748.8793644,0.772758486,0.375022872,0.205873674,0.164728565,217288,215867,"C","Contig19-10137","W",97226,98647,0.634639109,0.050964504,0
"3798","orf19.1971","","Ca21chr5",952.9799243,682.2169815,0.715976946,0.366403439,0.929398919,0.411482045,218221,219705,"W","Contig19-10137","C",96293,94809,0.613024339,0.039323867,0
"3799","orf19.1970","","Ca21chr5",328.4345914,313.3697277,0.954131312,0.791094254,0.408550454,0.280819987,221192,220488,"C","Contig19-10137","W",93322,94026,0.609669805,0.037645924,0
"3801","orf19.1968.1","","Ca21chr5",271.9303331,166.8941742,0.613738719,0.095812089,0.023142191,0.034480525,222946,222671,"C","Contig19-10137","W",91568,91843,0.715063296,0.047919266,0
"3802","orf19.1968","","Ca21chr5",139.5802996,146.7268149,1.051138966,0.437924523,0.952315309,0.598416276,223546,223869,"W","Contig19-10137","C",91055,90645,0.607288749,0.032984435,0
"3803","orf19.1967","","Ca21chr5",781.9788695,626.9383406,0.802030619,0.362223117,0.890965745,0.243348777,224544,223938,"C","Contig19-10137","W",90100,90576,0.613791475,0.03712386,0
"3804","orf19.1966","BUD23","Ca21chr5",3235.375119,2497.554894,0.771952185,0.209517972,0.877384561,0.291356694,225614,224799,"C","Contig19-10137","W",88900,89715,0.611917511,0.032098328,0
"3805","orf19.1964","","Ca21chr5",339.3488713,229.6120503,0.676293202,15.47079125,0.878191349,0.813092176,227465,225963,"C","Contig19-10137","W",87049,88551,0.617835062,0.025117374,0
"3806","orf19.1963","","Ca21chr5",1523.912227,663.5813048,0.435445883,0.326410009,0.083672699,0.041043575,231072,229549,"C","Contig19-10137","W",83442,84965,0.574061727,0.026483136,0
"3807","orf19.1961","","Ca21chr5",697.7817816,355.4737469,0.509433975,0.247645891,0.2823648,0.016898193,236456,234864,"C","Contig19-10137","W",78058,79650,0.552383612,0.046888431,0
"3808","orf19.1960","CLN3","Ca21chr5",496.5836703,167.6041602,0.337958839,0.372743781,0.658274897,0.040567231,245611,244214,"C","Contig19-10137","W",68903,70300,0.595319082,0.017229262,0
"3809","orf19.1959","","Ca21chr5",423.4193121,213.549707,0.504345694,0.38292006,0.470504586,0.091546033,253350,254321,"W","Contig19-10137","C",61164,60193,0.590248781,0.041398367,0
"3811","orf19.1957","CYC3","Ca21chr5",1755.924869,1881.61511,1.071580648,0.301886388,0.915833095,0.808892341,261888,262682,"W","Contig19-10137","C",52626,51832,0.637635134,0.043088967,0
"3812","orf19.1956","","Ca21chr5",1338.738808,597.3824876,0.446227811,1.139280425,0.60363262,0.296527391,265067,262806,"C","Contig19-10137","W",49447,51708,0.617009702,0.04429482,0
"3813","orf19.1955","","Ca21chr5",111.7577665,74.64409358,0.668404192,31.29114888,0.738463787,0.751135775,266079,266809,"W","Contig19-10137","C",48435,47746,0.647490004,0.038427382,0
"3814","orf19.1954","PUS4","Ca21chr5",674.0884292,704.0698477,1.044476981,0.598695335,0.977211993,0.970500002,266976,268136,"W","Contig19-10137","C",47562,46378,0.618817482,0.057309568,0
"3815","orf19.1953","","Ca21chr5",235.6105191,435.4621328,1.84822874,1.764996391,0.274716192,0.376118583,268278,269390,"W","Contig19-10137","C",46236,45934,0.60315161,0.042623321,0
"3816","orf19.1950","","Ca21chr5",1034.348253,928.2101724,0.897386513,1.242403503,0.877375809,0.707592557,269484,269954,"W","Contig19-10137","C",45030,44560,0.72168236,0.06734162,0
"3817","orf19.1949","VPS1","Ca21chr5",2797.928756,2249.682514,0.804052823,0.517178052,0.337313788,0.439018224,270302,272383,"W","Contig19-10137","C",44212,42131,0.662754275,0.097373648,0
"3818","orf19.1948","","Ca21chr5",411.2671666,226.4626909,0.550646172,0.32875861,0.111764849,0.016706675,273059,274360,"W","Contig19-10137","C",41455,40154,0.607339065,0.030398996,0
"3819","orf19.1946","","Ca21chr5",1459.333773,703.0146685,0.481736722,0.352222187,0.380681422,0.048220069,275380,274481,"C","Contig19-10137","W",39134,40033,0.579831922,0.022727545,0
"3820","orf19.1945","AUR1","Ca21chr5",739.3292612,316.0243065,0.427447314,0.31384409,0.002982398,0.018606303,277008,278423,"W","Contig19-10137","C",37506,36091,0.607745184,0.032209853,0
"3821","orf19.1944","GPR1","Ca21chr5",512.0934654,403.0984446,0.787157954,0.38379456,0.329068561,0.254844308,280836,283307,"W","Contig19-10137","C",33678,31207,0.607475677,0.050253179,0
"3822","orf19.1943","","Ca21chr5",163.2865595,124.844217,0.764571299,0.728213008,0.586130921,0.58896824,283868,286240,"W","Contig19-10137","C",30646,28274,0.513752874,0.049736468,0
"3823","orf19.1942","SGE1","Ca21chr5",778.1981321,483.1458741,0.620852009,0.230059886,0.066382445,0.006222869,286755,288638,"W","Contig19-10137","C",27759,25876,0.646213037,0.039648772,0
"3824","orf19.1941","NUF2","Ca21chr5",349.2348572,195.0658654,0.558552107,0.715997452,0.068388224,0.075504509,290129,288720,"C","Contig19-10137","W",24160,25794,0.601453841,0.041630892,0
"3825","orf19.1940","","Ca21chr5",714.09054,918.9470929,1.286877562,0.396047937,0.388857575,0.184411015,291183,290443,"C","Contig19-10137","W",23331,24071,0.562769742,0.087470598,0
"3827","orf19.1938","","Ca21chr5",123.9691794,107.899646,0.870548807,0.167710236,0.909474887,0.163895037,293764,294402,"W","Contig19-10137","C",20750,20112,0.633886433,0.054544466,0
"3828","orf19.1936","SNF1","Ca21chr5",1990.051809,1429.88705,0.7185175,0.735005431,0.172814786,0.242319401,294667,296523,"W","Contig19-10137","C",19847,17991,0.61060347,0.055751654,0
"3829","orf19.1935","","Ca21chr5",400.707338,276.6626345,0.690435658,0.449492015,0.180516407,0.363786434,296722,297168,"W","Contig19-10137","C",17792,17346,0.551844358,0.019751593,0
"3830","orf19.1934","","Ca21chr5",168.4786579,100.8284168,0.599453277,1.659327024,0.29338684,0.27801959,297649,299112,"W","Contig19-10137","C",16865,15402,0.499968232,0.019757856,0
"3831","orf19.1933","","Ca21chr5",368.9049534,199.8806712,0.541821598,0.719968844,0.292512296,0.222610198,299586,301436,"W","Contig19-10137","C",14928,13078,0.589469959,0.032133228,0
"3834","orf19.1927","SNM1","Ca21chr5",228.3640886,407.7404007,1.785483888,1.226129052,0.072914552,0.215555886,311744,311136,"C","Contig19-10137","W",2770,3378,0.59921966,0.031861618,0
"3835","orf19.1926","SEF2","Ca21chr5",471.4891474,399.3434769,0.846684097,30.3784108,0.730135209,0.630620121,313356,315341,"W","Contig19-10137","C",1164,1,0.607114445,0.029215609,0
"3836","orf19.4131","","Ca21chr5",1949.166214,1479.06116,0.75881736,0.548299568,0.609869561,0.311854718,317987,315402,"C","Contig19-10198","C",3166,581,0.611857504,0.016900491,0
"3837","orf19.4132","","Ca21chr5",12713.67069,13880.48903,1.091776669,0.753734964,0.811782279,0.802252447,318368,318687,"W","Contig19-10198","W",3387,3866,0.654987129,0.016353622,0
"3838","orf19.4133","","Ca21chr5",555.7249316,429.0242633,0.772008306,0.316484344,0.328381426,0.163497757,320892,319510,"C","Contig19-10198","C",6071,4689,0.653007262,0.050351302,0
"3839","orf19.4134","","Ca21chr5",415.1447628,455.9629513,1.098322783,1.274412938,0.840824966,0.869518746,322260,321043,"C","Contig19-10198","C",7439,6222,0.626149226,0.057451252,0
"3840","orf19.4135","PRC2","Ca21chr5",1795.930648,1568.468861,0.873346007,0.322364103,0.75167955,0.535054758,322744,324240,"W","Contig19-10198","W",7923,9419,0.599062228,0.096564302,0
"3841","orf19.4136","YBL053","Ca21chr5",451.236611,177.6145451,0.394210426,0.355397214,0.398794595,0.093761746,324438,328229,"W","Contig19-10198","W",9617,13406,0.576900193,0.035169158,0
"3842","orf19.4142","","Ca21chr5",408.2390169,209.0504207,0.512078493,0.193183234,0.030006267,0.00599013,329793,328285,"C","Contig19-10198","C",14974,13462,0.571798748,0.028105353,0
"3843","orf19.4143","","Ca21chr5",173.1038845,212.879796,1.228597673,8.460744543,0.693579386,0.473107209,330482,330910,"W","Contig19-10198","W",15663,16091,0.655651007,0.060109477,0
"3844","orf19.4144","","Ca21chr5",563.0026996,586.774346,1.04222297,4.16053566,0.952729426,0.910545601,332823,331012,"C","Contig19-10198","C",18004,16193,0.669211125,0.060623046,0
"3845","orf19.4145","ZCF20","Ca21chr5",304.1062622,182.1772984,0.59905803,0.306291073,0.123588316,0.049226792,336412,333155,"C","Contig19-10198","C",21593,18336,0.54525802,0.025566143,0
"3846","orf19.4146","SMD3","Ca21chr5",1032.655993,1254.080992,1.214422809,0.555404649,0.710572356,0.472885497,338300,338620,"W","Contig19-10198","W",23481,23801,0.768477046,0.050263861,0
"3847","orf19.4147","GLR1","Ca21chr5",3418.455768,3066.607877,0.897074026,0.335881935,0.701716918,0.35672782,340319,338769,"C","Contig19-10198","C",25500,23950,0.637047507,0.072073644,0
"3848","orf19.4148","","Ca21chr5",388.3992249,165.8278708,0.426952116,1.77099002,0.191151762,0.260168292,342233,340785,"C","Contig19-10198","C",27414,25966,0.600152777,0.032397873,0
"3850","orf19.4149","","Ca21chr5",32357.13275,21473.49723,0.663640298,0.23510499,0.501231548,0.03220147,343904,343416,"C","Contig19-10198","C",29085,28597,0.678111886,0.032447045,0
"3851","orf19.4150","","Ca21chr5",570.462302,305.6212696,0.536035309,0.477292328,0.259633413,0.118342796,344807,344118,"C","Contig19-10198","C",29988,29299,0.612387469,0.029169648,0
"3853","orf19.4152","CEF3","Ca21chr5",7538.017525,4221.96351,0.560089373,0.415529057,0.091699013,0.085896209,351071,347919,"C","Contig19-10198","C",36252,33100,0.59044615,0.029441296,0
"3855","orf19.6298","SPB4","Ca21chr5",171.8151539,20.4430461,0.122862927,0.271706234,0.007204953,0.00957364,357106,355211,"C","Contig19-10242","W",33140,35035,0.359318055,0.047939954,0
"3856","orf19.6297","","Ca21chr5",214.2173888,113.2388392,0.528616467,0.26425592,0.052296405,0.027643332,357170,358639,"W","Contig19-10242","C",33080,31611,0.574863631,0.021763668,0
"3857","orf19.6296","","Ca21chr5",136.6345059,175.6616748,1.285631866,9.049608844,0.370144431,0.216423068,359455,358670,"C","Contig19-10242","W",30795,31580,0.602783621,0.023777969,0
"3858","orf19.6295","MAS2","Ca21chr5",873.5482344,636.079261,0.728398467,0.370724285,0.550411254,0.188289139,360974,362542,"W","Contig19-10242","C",29276,27708,0.57951995,0.027923983,0
"3859","orf19.6294","MYO1","Ca21chr5",349.0141597,111.4065629,0.319681097,0.167106969,0.209752334,0.005611304,368537,362691,"C","Contig19-10242","W",21713,27559,0.596101624,0.032819868,0
"3861","orf19.3207","CCN1","Ca21chr5",159.093969,67.11711784,0.423079674,0.348341246,0.70913219,0.07326249,379759,377678,"C","Contig19-10170","W",92497,94578,0.589891067,0.035879362,0
"3862","orf19.3206","CCT7","Ca21chr5",3814.328908,3334.017644,0.874077125,0.331198051,0.722919101,0.145721946,384157,382508,"C","Contig19-10170","W",88099,89748,0.599001049,0.041797399,0
"3863","orf19.3205","","Ca21chr5",327.1281999,228.4365402,0.698462549,0.41991371,0.900951904,0.330818086,384458,385090,"W","Contig19-10170","C",87798,87166,0.59943959,0.045595474,0
"3864","orf19.3204","","Ca21chr5",207.0926063,222.8484054,1.075958673,0.526245859,0.957729926,0.663146165,387527,385311,"C","Contig19-10170","W",84729,86945,0.655171886,0.036647835,0
"3866","orf19.3202","","Ca21chr5",298.998251,218.2316891,0.729876139,0.244910413,0.424672465,0.058593118,390739,393300,"W","Contig19-10170","C",81517,78956,0.596512557,0.024901917,0
"3869","orf19.3199","PIKA","Ca21chr5",867.3423271,90.55054131,0.104784318,0.072379655,0.014473062,0.002541845,398238,395368,"C","Contig19-10170","W",74018,76888,0.048674304,0.008834017,0
"3870","orf19.3198","OBPA","Ca21chr5",1474.376422,26.63352857,0.018629477,0.023415148,0.000361787,0.000355349,400104,398803,"C","Contig19-10170","W",72152,73453,0.04649718,0.00737637,0
"3871","orf19.3197","PAP1","Ca21chr5",977.8858827,226.4271847,0.231547657,0.17944626,0.001564613,0.002407183,400510,402177,"W","Contig19-10170","C",71746,70079,0.052588331,0.006325679,0
"3872","orf19.3196","","Ca21chr5",138.0579257,173.8451679,1.259219035,0.933125816,0.784191646,0.805895429,402787,402485,"C","Contig19-10170","W",69469,69771,0.226971543,0.018616015,0
"3873","orf19.3195","HIP1","Ca21chr5",1771.753736,2550.779983,1.439692171,0.47174134,0.489496714,0.054338036,404634,402835,"C","Contig19-10170","W",67622,69421,0.578579321,0.033711419,0
"3874","orf19.3193","FCR3","Ca21chr5",876.8263919,605.5821685,0.690652305,0.187210543,0.439722744,0.006554342,407977,409176,"W","Contig19-10170","C",64279,63080,0.544776877,0.054205635,0
"3875","orf19.3192","STI1","Ca21chr5",1823.575379,1154.435255,0.63306144,0.239819586,0.101835422,0.060532181,409958,411727,"W","Contig19-10170","C",62298,60528,0.529092487,0.02467497,0
