orf,gene,A21_CHROMOSOME,WtMean2,MutMean2,fold.mut.by.wt,sd.ratio,p,p.paired,A21_START,A21_STOP,A21_STRAND,A19_CONTIG,A19_STRAND,A19_START,A19_STOP,CGH Ratio,CGH sd
orf19.6086,LEU4,Ca21chr1,1826.025217,2105.944613,1.153294376,0.356506383,0.932579467,0.805782047,29804,31543,W,Contig19-10237,C,169803,168064,1.070318979,0.130742232
orf19.6085,RPL16A,Ca21chr1,8366.061116,8880.121738,1.061445956,0.19156172,0.81677963,0.500645242,31842,32444,W,Contig19-10237,C,167765,167163,1.031486894,0.138394715
orf19.6084,,Ca21chr1,17.6556944,42.09418087,1,0.985129741,0.741638566,0.193742914,33318,32680,C,Contig19-10237,W,166289,166927,1.072654295,0.115375019
orf19.6083,,Ca21chr1,763.7434821,899.7211782,1.178041056,0.402050809,0.429557143,0.434980147,34446,34099,C,Contig19-10237,W,165161,165508,1.043839571,0.137585818
orf19.6082,,Ca21chr1,2296.358979,2142.480862,0.932990391,0.269198638,0.72457546,0.446420452,35679,34525,C,Contig19-10237,W,163928,165082,1.046168026,0.039264463
orf19.6081,PHR2,Ca21chr1,18102.50291,17380.71645,0.960127809,0.367437237,0.796777329,0.571277968,37852,39486,W,Contig19-10237,C,161755,160121,1.04532253,0.128173252
orf19.6080,,Ca21chr1,95.12319939,78.93182713,1,1.182624907,0.664601303,0.52084326,41771,40485,C,Contig19-10237,W,157836,159122,1.078238199,0.065063347
orf19.6079,,Ca21chr1,358.5716883,408.1412275,1.138241643,0.396633487,0.584897511,0.051463585,42606,43505,W,Contig19-10237,C,157001,156102,1.280298312,0.250332771
orf19.6078.1,RFC52,Ca21chr1,61.03672144,78.99790312,1,2.704886909,0.767485349,0.237675621,43680,43483,C,Contig19-10237,W,155927,156124,1.211579345,0.285556492
orf19.6078,POL93,Ca21chr1,362.0970061,508.2989824,1.403207897,0.569641083,0.960785025,0.534806,43804,45765,W,Contig19-10237,C,155803,153842,1.302783619,0.332197483
orf19.6077,,Ca21chr1,2351.327903,1486.646525,0.632258276,0.227595719,0.552204524,0.080215276,46804,48360,W,Contig19-10237,C,152803,151247,1.080975131,0.066144908
orf19.6076,,Ca21chr1,127.4218328,220.4809263,1.730322987,8.357699209,0.160422398,0.10546622,48514,49299,W,Contig19-10237,C,151093,150308,1.06689947,0.121335695
orf19.6075,,Ca21chr1,2273.422644,1978.267573,0.870171491,0.469363134,0.946807341,0.807558996,49844,49296,C,Contig19-10237,W,149763,150311,1.055456168,0.098931472
orf19.6074,HBR1,Ca21chr1,515.6210207,679.199941,1.317246415,0.568692525,0.679710065,0.294385453,49998,50744,W,Contig19-10237,C,149609,148863,1.027582316,0.050941251
orf19.6073,HMX1,Ca21chr1,743.9501983,2143.744731,2.881570212,0.574112783,0.00690915,5.89E-05,51682,50807,C,Contig19-10237,W,147925,148800,1.026640127,0.113803636
orf19.6072,CDC13,Ca21chr1,185.577993,233.8667278,1.261105321,0.650365906,0.770993915,0.630484682,53100,54443,W,Contig19-10237,C,146507,145164,1.098259743,0.137526269
orf19.6071,,Ca21chr1,717.4071989,686.4301999,0.956598662,12.58040391,0.867004373,0.742983666,57075,54838,C,Contig19-10237,W,142532,144769,1.006329074,0.053701306
orf19.6070,ENA2,Ca21chr1,1732.998142,2204.315107,1.271966226,2.075888151,0.820558527,0.576671386,59350,62553,W,Contig19-10237,C,140257,137054,1.061059738,0.110990268
orf19.6068,SVF1,Ca21chr1,2555.84447,3488.236228,1.364807706,0.292106409,0.019734882,0.025084731,63203,64351,W,Contig19-10237,C,136404,135256,1.034989522,0.127287704
orf19.6066,,Ca21chr1,436.424175,580.9396866,1.331135441,0.655239509,0.998362511,0.995966806,66325,64697,C,Contig19-10237,W,133282,134910,0.997922719,0.043837489
orf19.6065,,Ca21chr1,988.9002022,1674.657976,1.693454984,0.38388652,0.255590447,0.00239996,67844,68815,W,Contig19-10237,C,131763,130792,1.07887735,0.111384173
orf19.6064,,Ca21chr1,1307.276794,1167.080411,0.892756926,0.583969294,0.908175434,0.755723302,69227,70903,W,Contig19-10237,C,130380,128704,1.06701057,0.091020914
orf19.6063,UBP6,Ca21chr1,3978.428662,5908.582975,1.485154938,0.547036682,0.456307877,0.051822422,71069,72582,W,Contig19-10237,C,128263,127025,1.017147858,0.078992753
orf19.6062.3,,Ca21chr1,1809.938787,1988.397761,1.098599452,0.203334101,0.621550941,0.358717337,73284,72742,C,Contig19-10237,W,126323,126865,1.018122468,0.051828792
orf19.6062,,Ca21chr1,1903.0898,2871.342809,1.508779464,0.409138003,0.054903848,0.100497073,73581,73901,W,Contig19-10237,C,126026,125706,1.043885128,0.088247717
orf19.6061,,Ca21chr1,1275.989622,1558.328973,1.221270884,0.248857086,0.704857778,0.067624349,75382,74057,C,Contig19-10237,W,124225,125550,1.072643875,0.081682859
orf19.6060,GCN20,Ca21chr1,166.4251398,217.0404191,1.302827694,35.439145,0.277262043,0.158003347,77829,75574,C,Contig19-10237,W,121778,124033,1.055863458,0.077327151
orf19.6059,TTR1,Ca21chr1,14763.70276,19901.26746,1.347986192,0.969722794,0.135343007,0.22760684,78368,78009,C,Contig19-10237,W,121239,121598,1.045794944,0.145887358
orf19.6058,GLO1,Ca21chr1,2328.400773,3948.265127,1.695698255,0.372429353,0.370077388,0.001547001,79670,78642,C,Contig19-10237,W,119937,120965,1.018631463,0.123756273
orf19.6057,,Ca21chr1,701.7342866,925.9037627,1.319450653,0.408869732,0.264148738,0.034216604,80125,81054,W,Contig19-10237,C,119482,118553,1.076779032,0.125692423
orf19.6056,,Ca21chr1,199.9785503,322.431115,1.612328495,0.293086026,0.003438244,0.042531354,81234,81902,W,Contig19-10237,C,118373,117705,1.082119367,0.162549341
orf19.6055,,Ca21chr1,548.626556,448.1174812,0.816798743,0.383032795,0.381979308,0.382113699,84559,82118,C,Contig19-10237,W,115048,117489,1.0651633,0.09921704
orf19.6054,,Ca21chr1,172.9778473,158.2478786,0.914844768,5.277880094,0.575426287,0.540747177,87249,85081,C,Contig19-10237,W,112358,114526,1.069423536,0.123941921
orf19.6053,CIS2,Ca21chr1,493.886935,477.8098628,0.967447869,0.323744977,0.965609156,0.915367397,87901,89811,W,Contig19-10237,C,111706,109796,1.097680607,0.161862791
orf19.6052,CNS1,Ca21chr1,292.1687111,283.8344921,0.971474635,0.25261951,0.890267303,0.847397589,90100,91272,W,Contig19-10237,C,109507,108335,1.078306773,0.098215364
orf19.6049,,Ca21chr1,453.0735007,354.1002153,0.781631699,0.587735039,0.641239498,0.354723391,93695,91311,C,Contig19-10237,W,105912,108296,1.020493984,0.038705171
orf19.6048,,Ca21chr1,554.2785993,916.085498,1.652752784,0.798218534,0.006086095,0.035318268,93971,94900,W,Contig19-10237,C,105636,104707,1.092321419,0.0920582
orf19.6047,TUF1,Ca21chr1,3198.815246,2863.249546,0.89509688,0.197078573,0.620667351,0.194390636,95215,96495,W,Contig19-10237,C,104392,103112,1.023637398,0.098457958
orf19.6046,APC1,Ca21chr1,889.6964449,699.1982909,0.785884101,0.209222531,0.32297053,0.146507536,96817,101424,W,Contig19-10237,C,102790,98183,1.046967128,0.107883267
orf19.6045,,Ca21chr1,1532.614946,1841.743943,1.201700367,0.329558595,0.195101374,0.091928122,101752,103524,W,Contig19-10237,C,97855,96083,1.07822111,0.128524532
orf19.6044,MOB2,Ca21chr1,692.8959653,709.4673665,1.023916146,4.43699907,0.570986508,0.336336127,103869,104810,W,Contig19-10237,C,95738,94797,1.062196943,0.053703081
orf19.6043,,Ca21chr1,892.9904525,836.1824245,0.936384507,1.070815098,0.9422811,0.852131102,105180,106925,W,Contig19-10237,C,94427,92682,1.082418576,0.139175661
orf19.6041,RPO41,Ca21chr1,1482.445133,1468.922169,0.990877933,0.273480624,0.754984671,0.478406835,111028,107126,C,Contig19-10237,W,88579,92481,1.037928038,0.06687762
orf19.6040,SNF7,Ca21chr1,1349.304791,1622.821007,1.202708994,0.495579541,0.719624922,0.250461711,112252,111572,C,Contig19-10237,W,87355,88035,1.032084722,0.092181868
orf19.6039,,Ca21chr1,956.0320109,1093.63579,1.143932188,0.47594685,0.680873968,0.68481057,113802,112789,C,Contig19-10237,W,85805,86818,1.054874543,0.033390111
orf19.6038,UGA32,Ca21chr1,202.4548295,146.182423,0.722278201,0.22575346,0.81209578,0.08146683,115879,114128,C,Contig19-10237,W,83728,85479,1.003258847,0.054082635
orf19.6037,ASM3,Ca21chr1,360.9149315,308.93509,0.855977581,0.916013325,0.892292157,0.869109481,117320,119443,W,Contig19-10237,C,82287,80164,1.018384584,0.07615933
orf19.6036,RIC1,Ca21chr1,204.9623049,176.5161038,0.861212523,0.625987787,0.962713966,0.931135238,119768,122809,W,Contig19-10237,C,79839,76798,0.98006437,0.056374768
orf19.6035,,Ca21chr1,1931.630853,3134.030089,1.62247879,0.30651962,0.055437086,0.001080737,123067,123432,W,Contig19-10237,C,76540,76175,0.963729385,0.070618537
orf19.6034,TUB2,Ca21chr1,3509.581629,3605.890303,1.027441639,0.331093372,0.873114436,0.731188913,125597,123869,C,Contig19-10237,W,74010,75738,0.999841166,0.057750546
orf19.6033,CMP1,Ca21chr1,1168.503599,1072.733483,0.918040375,0.26788076,0.825833494,0.572188521,128619,126790,C,Contig19-10237,W,70988,72817,1.050763439,0.070876307
orf19.6032,SPE1,Ca21chr1,928.9378162,1116.546592,1.201960533,0.4566427,0.318316134,0.196089348,130680,129259,C,Contig19-10237,W,68927,70348,0.977003677,0.04404884
orf19.6031,,Ca21chr1,663.6259893,824.1721581,1.241922666,0.320742391,0.250918872,0.095452547,133937,131412,C,Contig19-10237,W,65670,68195,1.041230773,0.091879103
orf19.6030,,Ca21chr1,379.4116825,553.6406901,1.459208337,0.660250128,0.280947579,0.313824358,134256,134915,W,Contig19-10237,C,65351,64692,1.108985683,0.161515779
orf19.6029,ROT1,Ca21chr1,953.42626,846.7265376,0.888088123,0.635327758,0.846398672,0.618442937,136438,135656,C,Contig19-10237,W,63169,63951,0.975484244,0.066848058
orf19.6028,HGC1,Ca21chr1,4.246564644,6.007836622,1,5.39063977,0.887784183,0.901107777,140936,138579,C,Contig19-10237,W,58671,61028,1.009047812,0.054396181
orf19.6027,,Ca21chr1,92.05552707,109.56625,1.189875367,0.408336167,0.830806935,0.083032436,150614,151714,W,Contig19-10237,C,48993,47893,1.039024653,0.072483382
orf19.6026,ERG2,Ca21chr1,941.0781627,808.3812748,0.858994828,0.430578822,0.517994824,0.213668955,155291,154638,C,Contig19-10237,W,44316,44969,1.036408385,0.037736923
orf19.6025,,Ca21chr1,1040.990894,1159.525717,1.1138673,0.423553412,0.672895842,0.492056641,155448,156329,W,Contig19-10237,C,44159,43278,0.971414833,0.069134694
orf19.6024,,Ca21chr1,53.20190908,58.72445165,1,17.74690221,0.82428066,0.829838826,156648,157694,W,Contig19-10237,C,42959,41913,0.995643487,0.037239736
orf19.6023,,Ca21chr1,298.2073638,250.4821056,0.839959491,0.234362937,0.796705553,0.389591723,158729,160528,W,Contig19-10237,C,40878,39079,0.968439167,0.083731552
orf19.6022,,Ca21chr1,363.7532048,182.7248442,0.502559836,0.308455673,0.512580257,0.055289174,162676,160946,C,Contig19-10237,W,36931,38661,1.027159142,0.041842419
orf19.6021,IHD2,Ca21chr1,1143.931314,1384.941981,1.21068631,0.475893828,0.625535493,0.360888852,167084,167830,W,Contig19-10237,C,32523,31777,1.000990701,0.052507369
orf19.6020,,Ca21chr1,286.8375432,460.9664908,1.607064702,1.669789248,0.243298847,0.038044615,168540,169541,W,Contig19-10237,C,31067,30066,1.002610956,0.069582493
orf19.6018,LRO1,Ca21chr1,192.5991409,120.5468388,0.625894998,0.326960396,0.236048663,0.044836776,170165,172261,W,Contig19-10237,C,29442,27350,1.050086936,0.053392584
orf19.6017,,Ca21chr1,351.6261352,183.5852348,0.522103497,0.115806063,0.07130649,0.00053756,174466,176091,W,Contig19-10237,C,25145,23520,1.044005121,0.051444981
orf19.6016,,Ca21chr1,1162.288741,1204.74951,1.036532032,1.549189399,0.950303079,0.881372192,176332,178482,W,Contig19-10237,C,23279,21129,1.047758013,0.080087758
orf19.6014,RRS1,Ca21chr1,394.6625716,617.5587463,1.564776573,0.51541008,0.254256414,0.030495512,178697,179314,W,Contig19-10237,C,20914,20297,1.02917634,0.02094867
orf19.6013,,Ca21chr1,162.3713251,183.7885599,1.131632585,0.349013591,0.914854043,0.144037978,180232,180836,W,Contig19-10237,C,19379,18778,0.995200299,0.051952098
orf19.6012,,Ca21chr1,836.2698945,965.518206,1.154553347,0.360360482,0.965822314,0.871876441,181410,185246,W,Contig19-10237,C,18201,14365,1.004757504,0.053023747
orf19.6011,SIN3,Ca21chr1,507.0365196,484.6518364,0.955851931,0.488119092,0.612360306,0.441251288,190152,185514,C,Contig19-10237,W,9817,14097,1.030703906,0.063019046
orf19.6010.1,RPB11,Ca21chr1,813.0690283,631.7379009,0.776979419,0.226681165,0.562545324,0.077836331,190704,191162,W,Contig19-10237,C,8907,8449,1.013373963,0.021999422
orf19.6010,CDC5,Ca21chr1,337.7602454,446.2123202,1.321091888,1.063029441,0.340032667,0.166651151,193411,191450,C,Contig19-10237,W,6200,8161,1.041052211,0.054406571
orf19.6009,SET1,Ca21chr1,285.8009496,214.0716609,0.74916989,0.246928007,0.858822834,0.104390719,197804,194682,C,Contig19-10237,W,1807,4929,1.055494851,0.048419077
orf19.6008.3,,Ca21chr1,742.5225928,443.6220551,0.597542938,0.340451498,0.805977751,0.141482457,198227,198752,W,Contig19-10237,C,1384,859,1.06379652,0.135213029
orf19.3288,NMA111,Ca21chr1,515.7360232,644.038166,1.248694464,0.487945549,0.858777076,0.062123795,202255,199322,C,Contig19-10173,C,2555,3,1.095193443,0.144461519
orf19.3289,,Ca21chr1,170.3535411,152.8934152,0.897606705,0.476647199,0.852492284,0.464380031,203629,202538,C,Contig19-10173,C,3929,2838,1.119646268,0.221243761
orf19.3290,,Ca21chr1,5425.946142,5662.547023,1.043605461,0.402870635,0.735566309,0.668811701,203952,204422,W,Contig19-10173,W,4252,4722,1.028113827,0.163454961
orf19.3291,HMT1,Ca21chr1,2588.539333,2831.904301,1.09401633,0.582491675,0.672619649,0.420987071,205272,206291,W,Contig19-10173,W,5572,6591,1.02968774,0.042713665
orf19.3292,,Ca21chr1,2602.435964,2794.693588,1.073876025,0.924532367,0.718950791,0.800441514,206484,206927,W,Contig19-10173,W,6784,7227,1.01648106,0.052966571
orf19.3293,,Ca21chr1,4871.903024,5712.381556,1.172515448,0.398769368,0.960858463,0.88459794,207862,206924,C,Contig19-10173,C,8162,7224,0.992042861,0.055630362
orf19.3294,MBF1,Ca21chr1,3829.03063,5425.131788,1.416842097,0.67105661,0.516433014,0.286340683,208292,208747,W,Contig19-10173,W,8592,9047,1.027104757,0.063269517
orf19.3295,,Ca21chr1,290.2662757,185.9362792,0.640571416,1.359547393,0.622553604,0.551184063,210511,209087,C,Contig19-10173,C,10811,9387,0.998301161,0.054892418
orf19.3296,,Ca21chr1,290.7638821,183.5679454,0.631329944,0.423869065,0.477149154,0.182322612,210881,212386,W,Contig19-10173,W,11181,12686,1.080774125,0.10158771
orf19.3297,,Ca21chr1,987.6360323,1265.811129,1.281657501,0.241182711,0.134339017,0.139151127,212756,212448,C,Contig19-10173,C,13056,12748,1.050795175,0.060517701
orf19.3298,CCH1,Ca21chr1,163.145363,303.3465317,1.858486475,0.510001205,0.670640551,0.006516512,213644,220408,W,Contig19-10173,W,13944,20708,1.017517207,0.034840135
orf19.3300,ZPR1,Ca21chr1,5431.689795,4245.735499,0.781660157,0.303423459,0.760293352,0.30873937,222077,220548,C,Contig19-10173,C,22377,20848,1.007599618,0.023902856
orf19.3301,,Ca21chr1,3410.164991,2343.325641,0.687159022,0.24148162,0.190601297,0.058530933,224676,226883,W,Contig19-10173,W,24976,27183,1.049619674,0.05449518
orf19.3302,,Ca21chr1,2706.891255,3030.041486,1.119380574,0.299281592,0.822934986,0.253704361,229788,227686,C,Contig19-10173,C,30088,27986,1.030496125,0.068389
orf19.3303,,Ca21chr1,287.9995886,305.6348139,1.061233509,0.600699492,0.739684684,0.498399044,234943,232874,C,Contig19-10173,C,35243,33174,1.019569252,0.055438989
orf19.3304,,Ca21chr1,918.3705629,1021.645915,1.11245499,0.10658457,0.507259286,0.063160149,235898,235086,C,Contig19-10173,C,36198,35386,1.01517232,0.062837357
orf19.3305,ZCF17,Ca21chr1,136.1105812,117.1575231,0.8609228,0.354137634,0.777696937,0.25399292,238310,236094,C,Contig19-10173,C,38610,36394,1.025154626,0.084771198
orf19.3306,,Ca21chr1,14.59775579,1.956260033,1,2.39932068,0.505601009,0.451397423,240923,239100,C,Contig19-10173,C,41223,39400,1.013826274,0.104562536
orf19.3307,,Ca21chr1,738.2579379,739.3302732,1.001452521,0.293921923,0.922701616,0.928092211,242513,241122,C,Contig19-10173,C,42813,41422,1.063645276,0.062139167
orf19.3308,STB5,Ca21chr1,747.8025406,816.8137094,1.092285283,1.826478293,0.757953707,0.4165467,242750,244672,W,Contig19-10173,W,43050,44972,1.019702389,0.052535385
orf19.3309,,Ca21chr1,375.674436,701.8694941,1.868291869,1.927493614,0.117677811,0.037820786,245215,246462,W,Contig19-10173,W,45515,46762,0.993958239,0.048012217
orf19.3310,,Ca21chr1,1383.960026,1540.290015,1.112958457,0.242514645,0.603391194,0.058825855,247422,246670,C,Contig19-10173,C,47722,46970,1.011174331,0.053906086
orf19.3311,IFD3,Ca21chr1,452.9546636,441.5658596,0.974856636,0.217823397,0.969363712,0.869288928,248825,249874,W,Contig19-10173,W,49125,50174,1.022835907,0.060960776
orf19.3312,,Ca21chr1,1663.886328,1383.626679,0.831563224,0.227514093,0.385463912,0.167247779,250112,251986,W,Contig19-10173,W,50412,52286,0.999880039,0.052366506
orf19.3314,,Ca21chr1,101.9116612,132.1446225,1.296658507,0.627637407,0.475824693,0.519368245,252497,252045,C,Contig19-10173,C,52797,52345,1.06238417,0.064464034
orf19.3315,CTA9,Ca21chr1,2478.800522,2394.100616,0.965830286,0.611004829,0.978457559,0.921849939,253167,254450,W,Contig19-10173,W,53467,54750,1.000333793,0.03836638
orf19.3317,,Ca21chr1,0,50.49565876,1,66.83931203,0.199855594,0.199855594,254974,254627,C,Contig19-10173,C,55274,54927,1.022166085,0.057440425
orf19.3318,,Ca21chr1,101.903121,102.7930598,1.008718925,0.236604389,0.983025357,0.811466046,257452,255179,C,Contig19-10173,C,57752,55479,1.101210253,0.119020488
orf19.3319,,Ca21chr1,2851.448651,2895.742136,1.015533678,0.348983417,0.910582272,0.895812367,257930,258913,W,Contig19-10173,W,58230,59213,1.001089825,0.039926673
orf19.3320,,Ca21chr1,0,0,1,0,NA,NA,259001,259354,W,Contig19-10173,W,59301,59654,0.985253358,0.053364079
orf19.3321,,Ca21chr1,1483.07028,1359.040201,0.916369385,0.265739649,0.862116609,0.2596376,259656,261182,W,Contig19-10173,W,59956,61482,1.03254621,0.059651485
orf19.3322,DUT1,Ca21chr1,2341.342404,2993.396203,1.278495703,0.840263785,0.989783744,0.989471213,261847,261368,C,Contig19-10173,C,62147,61668,1.070155551,0.062645394
orf19.3323,,Ca21chr1,726.597321,697.3222423,0.95970935,0.371408848,0.916950106,0.772924016,263092,262226,C,Contig19-10173,C,63392,62526,0.980816773,0.052270298
orf19.3324,TIF,Ca21chr1,15061.47778,21460.78663,1.424879214,0.395386171,0.097642633,0.044938228,264681,263488,C,Contig19-10173,C,64981,63788,1.01894659,0.077185869
orf19.3325,,Ca21chr1,27089.24523,23687.32402,0.874418014,0.233099307,0.485581286,0.349333887,267474,265492,C,Contig19-10173,C,67774,65792,1.072579696,0.07354429
orf19.3325.3,RPS21B,Ca21chr1,1849.595453,1893.392832,1.023679437,2.55591402,0.796776355,0.466863377,270022,269382,C,Contig19-10173,C,70322,69682,0.978791904,0.065603065
orf19.3327,TRM2,Ca21chr1,734.0230791,916.5558057,1.24867437,0.542478826,0.507081993,0.415404432,271985,270330,C,Contig19-10173,C,72285,70630,1.00496477,0.055765528
orf19.3328,,Ca21chr1,506.5598891,297.5919256,0.587476293,0.38809815,0.128996712,0.115654801,274208,272385,C,Contig19-10173,C,74508,72685,1.067996313,0.075477746
orf19.3329,,Ca21chr1,2267.536446,1892.358767,0.834543926,0.300152138,0.690102999,0.382920055,276963,275488,C,Contig19-10173,C,77263,75788,1.0520737,0.081383527
orf19.3330,CRL1,Ca21chr1,985.1157682,562.8486675,0.571352815,0.302386636,0.01135541,0.026785055,279273,278233,C,Contig19-10173,C,79573,78533,1.067674043,0.087517882
orf19.3330.3,POX18,Ca21chr1,658.7660334,657.8863174,0.9986646,0.361876874,0.87573846,0.75431255,280830,280432,C,Contig19-10173,C,80869,80732,1.035863089,0.110482108
orf19.3331,ABC1,Ca21chr1,1954.341719,1457.520175,0.745785735,0.252847215,0.230451785,0.041097333,282448,284148,W,Contig19-10173,W,82749,84449,1.077817917,0.123922236
orf19.3332,,Ca21chr1,293.747607,311.1818382,1.059317402,0.423084856,0.825826009,0.384565168,284652,287630,W,Contig19-10173,W,84953,87931,1.06687679,0.09439263
orf19.3333,,Ca21chr1,914.983514,992.6447334,1.084877179,0.378679838,0.78757874,0.276878852,288046,289341,W,Contig19-10173,W,88347,89642,1.072599221,0.154640394
orf19.3334,RPS21,Ca21chr1,8595.140577,10094.5973,1.174454008,0.520188767,0.649649027,0.658645304,290461,289712,C,Contig19-10173,C,90762,90013,1.019676212,0.048418879
orf19.3335,,Ca21chr1,10988.29778,14096.54214,1.282868596,0.1110298,0.265186826,0.041871682,291860,292462,W,Contig19-10173,W,92161,92763,1.019391574,0.06036421
orf19.3336,,Ca21chr1,0,0,1,0,NA,NA,296059,296517,W,Contig19-10173,W,96360,96818,1.107638557,0.120053464
orf19.3337,,Ca21chr1,80.18428271,114.6745873,1.432216515,0.863439458,0.84614156,0.808899138,299627,300385,W,Contig19-10173,W,99880,100686,1.046612412,0.052145832
orf19.3338,,Ca21chr1,54.03685291,86.00288396,1,14.23682864,0.191240676,0.109285793,300397,301779,W,Contig19-10173,W,100698,102080,1.058961084,0.082240531
orf19.3340,SOD2,Ca21chr1,7363.108599,8813.044277,1.196918959,0.514835912,0.487652008,0.15152226,306028,305324,C,Contig19-10173,C,106329,105625,0.949144731,0.061430821
orf19.3341,,Ca21chr1,6022.689587,5973.450711,0.991824437,0.342490682,0.820131789,0.727323536,308501,306633,C,Contig19-10173,C,108865,106934,1.013807647,0.047973993
orf19.3342,,Ca21chr1,161.5549049,231.9147549,1.435516644,1.184391351,0.52309753,0.311773108,309137,310987,W,Contig19-10173,W,109438,111288,1.030963648,0.054313735
orf19.3344,VPS17,Ca21chr1,1563.67736,1218.275057,0.77910897,0.449418726,0.949162166,0.843554113,311215,312774,W,Contig19-10173,W,111516,113075,1.016687263,0.071595567
orf19.3345,SIZ1,Ca21chr1,792.7545061,587.038543,0.740504833,0.401061054,0.466076385,0.243778872,313177,317814,W,Contig19-10173,W,113478,118115,1.101396045,0.104206917
orf19.3347,RPB7,Ca21chr1,616.1693571,690.5067423,1.120644405,0.627346062,0.704059934,0.741804667,318487,317966,C,Contig19-10173,C,118788,118267,1.046948499,0.073290688
orf19.3348,,Ca21chr1,1344.716711,1831.535554,1.362023346,0.23261107,0.230816566,0.008891091,318944,319474,W,Contig19-10173,W,119245,119775,0.986217513,0.041746192
orf19.3349,,Ca21chr1,793.8697919,829.8466081,1.045318283,0.260227924,0.71513059,0.604903001,323385,319681,C,Contig19-10173,C,123686,119982,1.034220416,0.088810365
orf19.3350,MRP20,Ca21chr1,368.1668278,394.4546776,1.071402005,0.521341105,0.885720372,0.675252341,323666,324547,W,Contig19-10173,W,123967,124848,0.997029664,0.053020389
orf19.3351,,Ca21chr1,16.05584417,136.4889946,8.500891833,11.22992624,0.007056912,0.057616444,325957,324904,C,Contig19-10173,C,125678,125205,1.02130251,0.107262463
orf19.3352,,Ca21chr1,618.7921204,593.5976678,0.959284464,0.392678238,0.775559002,0.468890163,327443,326445,C,Contig19-10173,C,127744,126746,0.985142795,0.050058745
orf19.3353,,Ca21chr1,848.942537,1273.401667,1.499985702,2.019133822,0.293469783,0.030362107,331372,332055,W,Contig19-10173,W,131673,132356,1.015415491,0.03723703
orf19.3354,,Ca21chr1,24587.28849,19511.82054,0.793573499,0.306835659,0.724841493,0.185256713,332739,334096,W,Contig19-10173,W,133663,134397,0.979118619,0.049775323
orf19.3355,ISN1,Ca21chr1,2106.838783,2495.771894,1.184605065,0.471157243,0.592271638,0.496655534,334662,336044,W,Contig19-10173,W,134963,136345,1.005727398,0.04029437
orf19.3356,ESP1,Ca21chr1,432.9176259,390.6259625,0.902310137,0.246469997,0.697210292,0.469213296,341515,336719,C,Contig19-10173,C,141816,137020,0.991369617,0.051495957
orf19.3357,,Ca21chr1,357.7812995,419.1444148,1.171510125,0.447191416,0.994021732,0.986405478,342459,341947,C,Contig19-10173,C,142760,142248,0.967835212,0.075680858
orf19.3358,LSC1,Ca21chr1,4870.365486,5763.835885,1.18345038,0.44574782,0.478656792,0.365694412,343920,342949,C,Contig19-10173,C,144221,143250,0.99822165,0.091803191
