"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","orf","chr","gene","geneflag","WtMean","MutMean","WtMean2","MutMean2","sd.wt","sd.mut","fold.mut.by.wt","sd.ratio","p","p.paired"
"229","orf19.5636","RBT5",736.3072119,769.5892737,866.6924149,NA,526.9005195,NA,0.607944076,NA,0.054535142,0.081081702,1.035980924,0.0141957,1.025632976,0.046899422,"Ca21chr4","W",19713,20438,"orf19.5636","Chr4","RBT5",1,736.307211857008,769.589273664932,654.797101287811,315.8364130488,210.922433291645,142.568682815632,0.482342411760275,0.199329488862187,0.0106309173081707,0.0105200570434835
"725","orf19.5639","HIS4",1565.575496,4178.020961,1834.163185,NA,2459.830997,NA,1.341118946,NA,0.619942326,0.182844138,1.076069406,0.136834623,1.056446584,0.109154348,"Ca21chr4","C",23694,21178,"orf19.5639","Chr4","HIS4",1,1565.57549632741,4178.02096135998,1619.81168438052,2286.04322236868,1019.42094923349,1838.30298165574,1.41130184725328,0.393080701610336,0.624464891847327,0.131086582743163
"1048","orf19.5640","PEX5",911.2379648,1974.717821,1064.931087,NA,1285.925822,NA,1.207520221,NA,0.671976722,0.465207633,1.029328343,0.072552694,1.013049597,0.041905765,"Ca21chr4","C",25631,23853,"orf19.5640","Chr4","PEX5",1,911.23796479074,1974.7178207455,852.562143538887,1087.7414087625,639.189202525878,888.135249189591,1.27584999757016,0.556256082765121,0.747956178850077,0.440705946451122
"5066","orf19.5641","CAR2",1466.359761,3892.289523,1734.905442,NA,2306.143656,NA,1.329261872,NA,0.196109131,0.045850179,1.099994939,0.195593299,1.074729995,0.151855228,"Ca21chr4","C",27186,25876,"orf19.5641","Chr4","CAR2",1,1466.35976107763,3892.28952257412,1520.57060130115,2126.80266100713,505.56874954301,868.256771655688,1.39868721596171,0.350070449049395,0.187195997894209,0.0255843011137044
"1696","orf19.5642","",7337.274766,16509.78287,9636.82637,NA,10221.09897,NA,1.060629151,NA,0.711750253,0.79430908,1.047192792,0.10811108,1.012387505,0.068795867,"Ca21chr4","W",27530,27943,"orf19.5642","Chr4","",1,7337.2747657885,16509.7828723001,9381.06678251534,10172.172537384,2523.01510872561,1790.53753282389,1.08433004190346,0.426390435258308,0.641887243787782,0.743086838920926
"2620","orf19.5643","ECM7",439.6418388,834.2849834,461.7744157,NA,544.8707153,NA,1.179949986,NA,0.599630587,0.549736924,1.031417061,0.082169808,1.027641267,0.035037888,"Ca21chr4","W",28147,29691,"orf19.5643","Chr4","ECM7",1,439.641838764684,834.284983356738,251.996719672169,334.56180649456,142.879743245336,237.041506721932,1.32764349841459,0.896459248989352,0.931694602351701,0.864199518749016
"4207","orf19.5644","SMA2",332.502278,516.0262681,324.4061895,NA,312.1849625,NA,0.962327393,NA,0.613003569,0.613672294,0.994783077,0.083681965,0.991950767,0.028835782,"Ca21chr4","W",29746,30663,"orf19.5644","Chr4","SMA2",1,332.502278020427,516.026268115942,135.615589280592,116.742337874394,138.763348757446,161.824240634167,0.862231006481454,2.08274902346189,0.66758554627161,0.526220701132037
"5732","orf19.5645","MET15",17130.56962,31661.12339,20576.51853,NA,17909.76286,NA,0.870398111,NA,0.465877037,0.333530431,1.064825042,0.150552087,1.052805584,0.110294098,"Ca21chr4","C",31982,30660,"orf19.5645","Chr4","MET15/MET25",1,17130.5696197171,31661.1233862959,20301.4531623452,18006.7381807108,6719.16478416288,7970.37301735003,0.886967944447908,0.401851228829075,0.521937629882229,0.391904010629881
"5194","orf19.5646","",422.1951974,746.6927174,447.2625271,NA,429.3067567,NA,0.959854069,NA,0.95998191,0.963144771,1.034629439,0.096407212,1.024156142,0.066699914,"Ca21chr4","W",32585,33277,"orf19.5646","Chr4","",1,422.195197441765,746.692717370349,237.445616431529,218.300945649179,105.711167771388,203.046834219094,0.919372397477506,0.610713115357722,0.553760260621897,0.467776733120713
"5379","orf19.5647","SUB2",2823.61469,6427.471682,3420.398769,NA,3797.03226,NA,1.110113913,NA,0.62836884,0.224604627,1.05802943,0.123726876,1.043683211,0.054025654,"Ca21chr4","C",34763,33383,"orf19.5647","Chr4","SUB2",1,2823.6146897693,6427.47168242802,3199.76396863379,3643.26761878075,973.417883203722,1166.51347466553,1.13860511415669,0.19751741840657,0.581757986597109,0.161310027399377
"1462","orf19.5648","",275.6587407,410.8091449,265.6226481,NA,259.6301141,NA,0.977439672,NA,0.484146943,0.479997307,1.098379582,0.186695894,1.09874063,0.178841216,"Ca21chr4","W",34782,35390,"orf19.5648","Chr4","",1,275.658740684603,410.80914487811,72.6443936568121,72.1164853519848,87.1678516556268,78.1280714787461,1,11.5877235961877,0.762913928315371,0.477247181873556
"676","orf19.5649","",246.0160819,328.4795061,237.3090927,NA,227.9872497,NA,0.934611265,NA,0.535716892,0.548098909,1.063661276,0.102607668,1.06371794,0.15026324,"Ca21chr4","W",35436,35975,"orf19.5649","Chr4","",1,246.016081871345,328.479506126058,34.3630580903706,24.7051195467096,44.0624491380088,42.2131719927745,1,0.514262997528282,0.627678653669824,0.397195001984318
"1376","orf19.5650","PRO3",1500.241182,3729.367545,1843.040027,NA,2368.823776,NA,1.2852807,NA,0.425076292,0.016961274,1.04948792,0.069549213,1.042847508,0.098788937,"Ca21chr4","C",36235,35411,"orf19.5650","Chr4","PRO3",1,1500.24118195023,3729.36754546623,1626.93444017356,2187.07120887671,797.478770277201,1136.19795557245,1.34428969900188,0.0990429889519419,0.414798425599901,0.000284473065806768
"591","orf19.5651","",442.1416209,787.6582127,462.1266863,NA,513.3359237,NA,1.110812119,NA,0.651592707,0.53958305,1.057884569,0.081940692,1.045737126,0.0554705,"Ca21chr4","W",36910,39081,"orf19.5651","Chr4","",1,442.141620906821,787.658212728993,252.729020191008,302.748942766207,213.475981694218,254.164862387995,1.1971297198777,31.5652556520927,0.534826126758792,0.412628812341287
"3052","orf19.5653","ATP2",17796.0343,36995.72553,22130.68489,NA,23096.51727,NA,1.043642227,NA,0.797184146,0.580784254,1.073585201,0.142969447,1.062246655,0.106601159,"Ca21chr4","W",39465,41389,"orf19.5653","Chr4","ATP2",1,17796.0343004948,36995.7255266597,21839.4432240349,23270.5882647113,9465.19380904947,9522.289321012,1.06553028966881,0.28966813128678,0.73623960322852,0.460325972885781
"822","orf19.5654","STE24",1278.562263,2507.857009,1537.009633,NA,1543.589095,NA,1.00428069,NA,0.91428787,0.924342413,0.997830262,0.057998463,1.007323376,0.009694471,"Ca21chr4","W",41651,43041,"orf19.5654","Chr4","STE24",1,1278.56226316787,2507.85700947724,1322.6197528433,1351.30289965462,232.564463351006,394.353895678072,1.02168661608876,0.276568136794644,0.97907745504121,0.976337238552732
"4737","orf19.5655","",278.6524574,468.8745579,259.2694858,NA,291.9571643,NA,1.126076072,NA,0.51545293,0.610551701,1.08125678,0.126675263,1.070108048,0.116499777,"Ca21chr4","C",44715,43184,"orf19.5655","Chr4","",1,278.652457431155,468.874557913351,64.2629785743495,88.875203383383,49.0144146425908,94.1211329012188,1,1.14892387464338,0.951772676117232,0.843558683051405
"565","orf19.5657","SWI1",1213.9069,1952.450647,1439.478862,NA,1238.683749,NA,0.860508468,NA,0.223013809,0.157324458,1.067424392,0.072412221,1.042422343,0.036977409,"Ca21chr4","C",48100,45137,"orf19.5657","Chr4","SWI1",1,1213.90690002382,1952.45064709187,1225.77734235752,1039.77691464086,311.940514572422,256.2182442283,0.848259205575681,0.199079353774219,0.265226198099118,0.159747153864001
"6175","orf19.5658","MNN10",883.350598,1565.738802,994.0944412,NA,903.0404632,NA,0.908405103,NA,0.567613071,0.189961127,1.067591659,0.124199944,1.052191329,0.070745315,"Ca21chr4","C",49314,48307,"orf19.5658","Chr4","MNN10",1,883.350597980362,1565.73880154944,782.67942009476,700.19631707795,390.509551437283,472.054845639636,0.894614447628094,0.350650240097004,0.5569292567131,0.229862703080266
"1431","orf19.5660","TIM11",5155.730902,12668.1689,6516.31552,NA,8208.324693,NA,1.259657343,NA,0.045346906,0.050848714,1.045402847,0.156131146,1.021590428,0.072844548,"Ca21chr4","C",50512,49534,"orf19.5660","Chr4","TIM11",1,5155.73090177367,12668.1688984287,6280.30550331657,8121.76410748533,801.050163500335,1636.63615842345,1.29321162851016,0.247699801918359,0.0310561361119721,0.0241862469474565
"2267","orf19.5660.1","PEX10",1238.625504,3009.02253,1570.080413,NA,2042.010857,NA,1.300577244,NA,0.530110847,0.052870412,1.027704965,0.106526893,1.024189003,0.020298309,"Ca21chr4","C",51211,50930,"orf19.5660.1","Chr4","PEX10",1,1238.6255041339,3009.02252959456,1353.91734235481,1852.79792499562,1303.69326586363,1582.44969585998,1.36847196430258,0.297870570838533,0.527058102021186,0.00298351731566257
"4741","orf19.5661","PTC7",1544.181307,3847.326204,1940.419731,NA,2450.47053,NA,1.262855913,NA,0.157702816,0.062193596,1.144967824,0.220453985,1.122914478,0.186472457,"Ca21chr4","W",51522,52574,"orf19.5661","Chr4","",1,1544.18130663196,3847.32620371663,1723.23050715609,2269.82597352194,433.992183611388,634.198245624164,1.31719231066069,0.209775143096561,0.114884612871976,0.0132718724554087
"15","orf19.5662","PEP7",415.2230067,885.9235694,444.6313887,NA,552.8759203,NA,1.243447796,NA,0.342020392,0.291557345,1.030023324,0.044011472,1.021973436,0.042450316,"Ca21chr4","W",52683,54020,"orf19.5662","Chr4","PEP7",1,415.223006676727,885.923569423116,234.675168875538,343.040055107491,165.117632018547,183.124864312036,1.4617654554216,0.849263881630553,0.23510839945376,0.0249492703475358
"3541","orf19.5663","RCH1",4326.410852,2929.972837,4875.048944,NA,1650.156542,NA,0.338490251,NA,0.125557181,0.003687103,1.079864306,0.094815278,1.055489261,0.084918996,"Ca21chr4","C",55317,54082,"orf19.5663","Chr4","",1,4326.41085167605,2929.97283743178,4656.74566929224,1463.01691066145,3253.85004944342,1174.67588977679,0.31417152976787,0.218322856984883,0.182250467182681,0.00539180221021833
"1344","orf19.5664","HOF1",729.6811379,921.0373169,813.7549744,NA,570.8105747,NA,0.70145264,NA,0.564590882,0.181133978,1.035546639,0.042111212,1.02846266,0.005946816,"Ca21chr4","W",56584,58407,"orf19.5664","Chr4","HOF1",1,729.681137941006,921.037316867882,610.070779168862,361.155790809391,546.681048654598,327.078393872322,0.591828301055668,7.81169421424755,0.992888476372645,0.98580367807263
"5994","orf19.5665","",1030.23457,2117.06849,1145.858481,NA,1169.267997,NA,1.020429675,NA,0.836184237,0.684392875,1.060722014,0.045010447,1.059978891,0.04800224,"Ca21chr4","W",58588,59571,"orf19.5665","Chr4","",1,1030.23457017876,2117.06849046799,934.410107887909,972.249049603148,470.146509519852,620.935019711472,1.04049500470491,0.530459075829371,0.900158164174662,0.807336306022986
"1448","orf19.5666","SUB1",1030.711938,2525.441714,1233.497506,NA,1550.852857,NA,1.257280902,NA,0.525067026,0.241327887,1.069674964,0.108836967,1.061157515,0.084007827,"Ca21chr4","W",59717,60157,"orf19.5666","Chr4","SUB1",1,1030.71193820383,2525.44171436549,1020.09561983074,1358.04052775325,435.707745990097,803.264961108464,1.33128748065656,0.496686212830402,0.556961187330037,0.306164571984205
"3805","orf19.5667","MNR2",1196.881405,2052.183504,1439.584577,NA,1266.626825,NA,0.87985579,NA,0.764303947,0.595822895,1.061423297,0.109972317,1.050461756,0.075039351,"Ca21chr4","W",60947,63340,"orf19.5667","Chr4","MNR2",1,1196.88140485498,2052.18350363087,1225.48162986339,1067.85786360419,647.198473735898,570.421096665782,0.871378107661416,0.28419125300857,0.724669100963346,0.448029765489787
"1703","orf19.5669","YET1",606.0983857,1540.154837,667.5546048,NA,916.6778716,NA,1.373187849,NA,0.333589174,0.20286303,1.007250778,0.068253125,1.004743352,0.029375255,"Ca21chr4","W",63561,64121,"orf19.5669","Chr4","YET1",1,606.098385746639,1540.15483682031,457.068516400436,714.212207849493,266.179311069603,461.162314794616,1.56259331418,0.379505027830013,0.376820456148131,0.0338554522354245
"5198","orf19.5671","",3054.282446,4984.295782,3658.010504,NA,3086.144181,NA,0.843667392,NA,0.372600655,0.411616182,1.036596266,0.113545311,1.025507801,0.075561145,"Ca21chr4","C",66706,64271,"orf19.5671","Chr4","",1,3054.28244586378,4984.29578178305,3437.29980473334,2915.26409413002,1102.60173221603,689.887964505385,0.84812622108655,0.419216660946188,0.482257349361823,0.525002426307554
"5731","orf19.5672","MEP2",841.7862553,1000.92617,928.5441776,NA,597.3006082,NA,0.643265687,NA,0.044980602,0.000961227,1.108378477,0.145558556,1.08597979,0.101660332,"Ca21chr4","W",67995,69437,"orf19.5672","Chr4","MEP2",1,841.786255260166,1000.92616959064,717.650946620638,388.916058281263,349.367153324759,187.721654499937,0.541929276499443,0.149319739147843,0.125342508724764,0.00245375284545659
"557","orf19.5673","OPT7",358.9380359,558.0386312,376.7417027,NA,374.8643145,NA,0.995016776,NA,0.684008566,0.704602656,1.062541392,0.120335171,1.042567647,0.068238677,"Ca21chr4","C",71749,69506,"orf19.5673","Chr4","OPT7",1,358.938035874101,558.038631201255,166.992003997856,161.763383848545,69.0879352546868,74.8374175444221,0.968689398149998,0.152555904939035,0.885488211463124,0.634110210830619
"1992","orf19.5674","PGA10",412.5402144,725.1228448,469.9444743,NA,536.1834756,NA,1.130759111,NA,0.495250689,0.433685806,1.016797341,0.022748285,1.025311816,0.035636721,"Ca21chr4","C",73547,72795,"orf19.5674","Chr4","PGA10/RBT51/RBT8",1,412.540214373245,725.122844827586,269.571890399237,336.847750487563,378.573990014007,489.721851454198,1.24910352569042,0.390458527798581,0.974422686027048,0.654133044953316
"3538","orf19.5675","RIS1",1126.807087,1814.80372,1368.029806,NA,1185.131411,NA,0.866305256,NA,0.27173617,0.222573973,1.055017058,0.107132833,1.045995497,0.080436614,"Ca21chr4","C",77579,74271,"orf19.5675","Chr4","RIS1",1,1126.80708734701,1814.80372003727,1153.94940687089,984.46901724971,194.098145630843,187.158033834239,0.853130138451434,0.104403183157084,0.152288893521929,0.0232628104314831
"4854","orf19.5676","",986.9912882,1532.258475,1147.588555,NA,966.608698,NA,0.84229552,NA,0.277906009,0.20628667,1.043861312,0.036470119,1.033489416,0.011224051,"Ca21chr4","C",80171,78360,"orf19.5676","Chr4","",1,986.991288178448,1532.2584749292,935.252716143616,763.152459590906,291.937849829771,147.227378324732,0.815985290839527,0.259033466791348,0.327679206037207,0.183954623860301
"4845","orf19.5677","DUR4",271.158616,525.134844,256.622819,NA,313.318928,NA,1.20325383,NA,0.382444163,0.369716647,1.07915308,0.099849428,1.062083556,0.073669462,"Ca21chr4","W",81578,83551,"orf19.5677","Chr4","DUR4",1,271.158616036111,525.134844045348,66.4310320561407,117.349290035691,70.3174950431917,147.584775576362,1.76265621162601,3.84017656417789,0.769811851785757,0.427673529365758
"NA","orf19.5678a","",351.9319691,620.5973989,349.6771422,NA,377.3059747,NA,1.079012406,NA,0.554876952,0.558886512,NA,NA,NA,NA,"Ca21chr4","W",84045,85634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","orf19.4191.1","RLP24",965.7593784,1889.462448,1103.970979,NA,1112.00067,NA,1.007273462,NA,0.923540029,0.817414843,1.017292815,0.077345737,1.027810394,0.077297193,"Ca21chr4","W",86317,89235,"orf19.4191.1","Chr4","RLP24",1,965.759378413984,1889.46244808013,891.937415648632,911.798992139612,749.5311771998,812.602935268796,1.02226790371445,0.474559398877994,0.933830123213656,0.794538061519505
"4623","orf19.4191","HCT5",1188.806005,1878.543924,1381.270103,NA,1135.704094,NA,0.822217241,NA,0.235872851,0.060939232,0.959216908,0.116362334,0.976567656,0.125265337,"Ca21chr4","C",90017,89388,"orf19.4191","Chr4","HCT5",1,1188.80600539811,1878.54392391235,1168.27909816116,935.561460419506,427.878230303996,263.311464956942,0.800803046029031,0.21151769552891,0.319259961661914,0.162956827580847
"1622","orf19.4190","",801.2740747,1796.680671,901.9737508,NA,970.5653283,NA,1.076046091,NA,0.827262123,0.738435668,1.041933125,0.055865339,1.021500954,0.024708931,"Ca21chr4","W",90450,90923,"orf19.4190","Chr4","",1,801.274074742078,1796.68067078616,690.74113903949,770.172489530552,503.338039693235,907.268740142148,1.1149943821234,0.666183006672223,0.665059882938632,0.45217349183604
"6062","orf19.4189","",406.1883798,699.9545097,418.5024077,NA,432.3524925,NA,1.033094397,NA,0.692904395,0.671286804,0.975676051,0.033637228,0.98903552,0.057709737,"Ca21chr4","C",92485,91409,"orf19.4189","Chr4","",1,406.188379839115,699.954509671615,208.884266919654,220.843858901429,185.278304767675,171.187653966866,1.05725463271188,0.616234825633907,0.848023182353015,0.720576855496261
"4974","orf19.4188","NMD5",1001.875318,2188.684753,1162.808801,NA,1281.45094,NA,1.102030651,NA,0.985080643,0.934447139,0.984030569,0.025313101,0.987683826,0.052652252,"Ca21chr4","C",96782,93729,"orf19.4188","Chr4","NMD5",1,1001.87531799215,2188.68475274725,952.618545102561,1088.76657761355,796.659386912116,1049.75353437101,1.14289477925269,0.300450846647024,0.994455080352598,0.937138496853243
"4999","orf19.4187","MMM1",397.8415845,706.0817071,406.7333344,NA,424.1397068,NA,1.042795539,NA,0.747747494,0.732229411,1.004830183,0.05192451,1.013792427,0.014324559,"Ca21chr4","C",98893,97574,"orf19.4187","Chr4","MMM1",1,397.841584509461,706.081707086017,197.254342082996,212.716764714064,133.490257127545,163.483556548739,1.07838824974795,1.0709740204581,0.781057158563632,0.56059096878296
"3216","orf19.4186","PCT1",924.1919445,1892.98073,1071.601406,NA,1166.803302,NA,1.088840771,NA,0.561068348,0.451856287,0.976322607,0.033731492,0.982694032,0.042049221,"Ca21chr4","C",100504,99131,"orf19.4186","Chr4","PCT1",1,924.191944549703,1892.98073045124,859.419513755713,967.081029748154,388.704154853628,329.341369939781,1.12527236613694,0.35701143046239,0.500239189535229,0.281454273995142
"3806","orf19.4185","",722.7580544,1501.141207,884.0911992,NA,1066.13724,NA,1.205913192,NA,0.444533876,0.236410198,1.065800345,0.021343405,1.069659021,0.025703839,"Ca21chr4","W",100986,101441,"orf19.4185","Chr4","",1,722.75805437001,1501.14120721233,671.391684831726,861.745752766998,475.707015673263,481.989859923691,1.28352163459245,0.670158369356996,0.445314574256261,0.197585596412507
"1520","orf19.4184","YAP180",1123.224654,1808.474406,1331.269061,NA,1147.549691,NA,0.861996815,NA,0.814905851,0.429992769,1.055424902,0.054805172,1.03941833,0.048173586,"Ca21chr4","C",103606,101597,"orf19.4184","Chr4","YAP180",1,1123.22465369879,1808.47440620229,1117.96077813906,947.193146623362,920.93286722215,755.849622890623,0.84725078477265,0.410369990634649,0.916710094214475,0.625012272539814
"1670","orf19.4183","MUC1",1506.388121,3272.046558,1871.669943,NA,2082.471838,NA,1.112627708,NA,0.18156346,0.172135494,1.098455557,0.116127968,1.071690575,0.089153463,"Ca21chr4","C",107085,104422,"orf19.4183","Chr4","MUC1",1,1506.38812105418,3272.04655773497,1654.95107084832,1896.21673557465,298.661950951197,162.796798157539,1.14578416786827,0.259717417639862,0.123102740356075,0.152322481810115
"2211","orf19.4182","",761.7763316,1600.068238,923.4067464,NA,1094.514297,NA,1.185300303,NA,0.668426211,0.362089998,1.051879928,0.07387409,1.034885648,0.042870554,"Ca21chr4","W",107346,108402,"orf19.4182","Chr4","",1,761.776331614413,1600.06823765072,710.667780528129,891.594273971261,494.380280149205,699.849963798171,1.25458659925272,0.467033332585377,0.741455329815848,0.428194605707694
"4773","orf19.4181","SPC2",738.6961314,1546.234432,857.7997331,NA,933.2724273,NA,1.08798405,NA,0.722985973,0.505078818,1.013335033,0.054095713,1.006098859,0.019361807,"Ca21chr4","C",108930,108421,"orf19.4181","Chr4","SPC2",1,738.696131354026,1546.23443223443,646.142362617803,730.084473820407,415.190954969184,441.621410374104,1.12991271902142,0.270426335823953,0.814809557194993,0.295201109657837
"5490","orf19.4180","SEC72",1311.366742,2661.258858,1672.368813,NA,1709.021759,NA,1.021916784,NA,0.77280404,0.453601092,1.030436531,0.036900295,1.041430495,0.019887593,"Ca21chr4","C",110013,109399,"orf19.4180","Chr4","SEC72",1,1311.36674245295,2661.25885752179,1455.68220704803,1516.50654876821,909.141942645998,800.458080552588,1.04178407994938,0.504534536411636,0.825883456588194,0.539536769647416
"6307","orf19.4179","",301.8469949,458.7219433,289.7761923,NA,289.9100107,NA,1.000461799,NA,0.890060241,0.921822448,1.014159896,0.029200521,1.015234661,0.024496167,"Ca21chr4","W",110388,110918,"orf19.4179","Chr4","",1,301.846994856148,458.721943286599,80.6388405522601,77.545410000436,53.7904034603034,71.6818853009441,1,0.593099306340377,0.590511229191635,0.446376381020256
"5988","orf19.4177","HIS5",1667.851676,3996.389339,1971.045618,NA,2265.988656,NA,1.149637855,NA,0.76307312,0.539989316,1.06272848,0.093133727,1.04623921,0.057618481,"Ca21chr4","W",111285,112454,"orf19.4177","Chr4","HIS5",1,1667.85167605131,3996.38933948927,1755.9158122824,2087.77907570984,652.922472534177,1133.09075989261,1.18899725209267,0.424740567042344,0.737476840442918,0.502285610015534
"3215","orf19.4176","MRPS17",853.9280329,1634.336444,1009.204884,NA,995.6087883,NA,0.986527914,NA,0.879142432,0.805069569,1.052181528,0.079332355,1.038719132,0.009919612,"Ca21chr4","W",112699,113439,"orf19.4176","Chr4","MRPS17",1,853.92803294709,1634.3364436203,796.791414885512,792.973259934383,439.628647409479,441.960965347994,0.995208087236134,0.344470061518659,0.936442336941881,0.842941967529021
"3767","orf19.4175","TOK1",1012.728388,1674.91428,1190.096082,NA,1040.318673,NA,0.874146793,NA,0.880237019,0.801110101,1.042279525,0.074135412,1.023180391,0.029708165,"Ca21chr4","W",113653,115878,"orf19.4175","Chr4","TOK1",1,1012.72838816759,1674.91428015388,977.2274604089,838.708736461981,671.298118740782,473.426578968278,0.858253344734132,0.392347658737486,0.875001843527376,0.677716888804227
"879","orf19.4174","FUN26",897.9214093,1521.323679,1174.196676,NA,1149.105357,NA,0.978631077,NA,0.924056416,0.874332505,1.132362149,0.146025515,1.110774695,0.109156693,"Ca21chr4","W",116226,117587,"orf19.4174","Chr4","FUN26",1,897.921409264762,1521.32367916919,959.02311866501,944.53524577718,793.946792756431,641.153649620175,0.98489309318424,0.390596848209614,0.98998127307353,0.973918666995504
"4090","orf19.4173","DPH2",480.2072436,898.2750488,529.383211,NA,577.820398,NA,1.091497399,NA,0.641413329,0.567496733,1.078684949,0.101708268,1.068439662,0.102493446,"Ca21chr4","C",119173,117584,"orf19.4173","Chr4","DPH2",1,480.207243628523,898.275048796356,319.053601940585,368.259030882299,169.149102233995,226.131439958658,1.15422307926452,0.39055242613463,0.814729254209094,0.55924363362632
